,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,50,1,1,9/8/2024,LVR,@,LAC,"L, 10-22",*,25,33,12,32.4,149,4.5,119,4.8,3.6,138,5.5,2,1,0,0,0,3,9.4,10,1,2,7,17.5,3,1.7,3,5,0,0,0,5,1.7,0
2,51,2,2,9/15/2024,LVR,@,BAL,"W, 26-23",*,30,38,14,32.6,238,6.3,153,5.1,4,123,4.1,0,2,0,1,2.8,3,8.3,10,3,4,12,27.9,0,,1,-1,0,-1,-1,0,0,0
3,52,3,3,9/22/2024,LVR,,CAR,"L, 22-36",*,18,28,10,33.3,216,7.7,105,5.8,3.8,109,6.1,1,1,0,0,0,4,14.8,8,1,2,5,15.6,2,7,3,14,1,14,4.7,0,0,0
4,53,4,4,9/29/2024,LVR,,CLE,"W, 20-16",*,14,24,7,26.9,154,6.4,55,3.9,2.3,75,5.4,0,0,0,3,12.5,6,25,15,1,2,5,19.2,0,,2,-2,0,-2,-1,0,0,0
5,54,5,5,10/6/2024,LVR,@,DEN,"L, 18-34",*,12,17,7,36.8,131,7.7,43,3.6,2.5,94,7.8,0,0,0,0,0,3,17.6,8,0,0,2,9.5,2,11,2,22,2,15,7.5,7,3.5,0
6,55,7,7,10/20/2024,LVR,@,LAR,"L, 15-20",,15,34,9,25,226,6.6,41,2.7,1.2,113,7.5,1,7,0,1,3.7,6,22.2,19,6,6,14,38.9,0,,1,2,1,1,1,1,1,0
7,56,8,8,10/27/2024,LVR,,KAN,"L, 20-27",*,24,30,13,37.1,138,4.6,108,4.5,3.6,101,4.2,2,1,2,0,0,1,3.7,18,1,3,9,25,1,7,2,6,0,6,3,0,0,0
8,57,9,9,11/3/2024,LVR,@,CIN,"L, 24-41",*,10,17,6,33.3,170,10,59,5.9,3.5,65,6.5,1,1,0,1,6.3,3,18.8,6,4,4,9,50,0,,1,0,0,0,0,0,0,0
9,58,10,11,11/17/2024,LVR,@,MIA,"L, 19-34",*,30,43,17,37,191,4.4,94,3.1,2.2,188,6.3,1,4,0,2,5.1,4,10.3,6,2,1,6,12.5,2,3.5,2,7,1,7,3.5,0,0,0
10,59,11,12,11/24/2024,LVR,,DEN,"L, 19-29",*,25,42,11,24.4,215,5.1,137,5.5,3.3,93,3.7,2,5,1,0,0,5,13.9,9,6,3,12,26.1,1,5,2,5,0,5,2.5,0,0,0
,,,,,,,,8-Feb,,203,306,106,31.6,1828,6,914,4.5,3,1099,5.4,10,22,3,8,2.8,38,13.5,109,25,27,81,23.4,11,5.5,19,58,5,45,2.4,13,0.7,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
