,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,10,2,2,9/20/2020,SFO,@,NYJ,"W, 31-13",,8,11,3,23.1,48,4.4,30,3.8,2.7,41,5.1,0,0,0,0,0,2,18.2,3,0,4,6,46.2,0,,2,-2,0,-2,-1,0,0,0
2,11,3,3,9/27/2020,SFO,@,NYG,"W, 36-9",*,25,36,19,50,284,7.9,202,8.1,5.6,141,5.6,1,1,0,1,2.9,2,5.7,17,3,7,12,31.6,0,,4,0,1,-1,-0.3,1,0.3,0
3,12,4,4,10/4/2020,SFO,,PHI,"L, 20-25",*,18,26,11,36.7,133,5.1,82,4.6,3.2,118,6.6,0,0,0,2,7.7,5,19.2,6,2,6,12,40,0,,0,0,0,0,,0,,0
4,13,8,8,11/1/2020,SFO,@,SEA,"L, 27-37",,18,25,12,48,185,7.4,148,8.2,5.9,90,5,0,1,0,0,0,3,12.5,14,0,4,4,16,0,,0,0,0,0,,0,,0
5,14,9,9,11/5/2020,SFO,,GNB,"L, 17-34",*,22,35,8,22.2,224,6.4,94,4.3,2.7,197,9,1,1,0,2,5.9,6,17.6,8,4,5,10,27.8,0,,1,0,0,0,0,0,0,0
6,15,10,10,11/15/2020,SFO,@,NOR,"L, 13-27",*,24,38,14,35,219,5.8,126,5.3,3.3,121,5,1,0,0,0,0,8,21.1,18,4,6,12,29.3,1,3,1,3,0,3,3,0,0,0
7,16,11,12,11/29/2020,SFO,@,LAR,"W, 23-20",*,24,35,10,27,172,4.9,77,3.2,2.2,175,7.3,0,1,0,3,8.8,3,8.8,5,3,5,10,27,0,,0,0,0,0,,0,,0
8,17,12,13,12/7/2020,SFO,,BUF,"L, 24-34",*,26,39,18,46.2,266,6.8,183,7,4.7,133,5.1,0,0,0,4,10.3,7,17.9,10,7,7,14,35.9,0,,0,0,0,0,,0,,0
9,18,13,14,12/13/2020,SFO,,WAS,"L, 15-23",*,25,45,13,26.5,268,6,129,5.2,2.9,131,5.2,3,1,0,4,9.1,5,11.4,23,7,8,19,38.8,0,,0,0,0,0,,0,,0
10,19,14,15,12/20/2020,SFO,@,DAL,"L, 33-41",*,21,36,12,31.6,254,7.1,127,6,3.5,92,4.4,1,1,0,1,2.9,7,20,12,3,5,10,25.6,1,7,1,7,0,7,7,0,0,0
,,,,,,,,7-Mar,,211,326,120,34.8,2053,6.3,1198,5.7,3.7,1239,5.9,7,6,0,17,5.3,48,15,116,33,57,109,31.4,2,5,9,8,1,7,0.8,1,0.1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
