,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,47,1,1,9/11/2022,ARI,,KAN,"L, 21-44",*,22,34,11,30.6,250,7.4,82,3.7,2.4,111,5,2,3,0,1,3.2,2,6.5,9,18,4,24,64.9,1,10,5,29,1,29,5.8,0,0,0,
2,48,2,2,9/18/2022,ARI,@,LVR,"W, 29-23 (OT)",*,31,49,13,26,243,5,115,3.7,2.3,162,5.2,1,2,0,2,4.3,8,17,12,3,4,8,15.4,2,2.5,5,28,4,28,5.6,0,0,0,
3,49,3,3,9/25/2022,ARI,,LAR,"L, 12-20",*,37,58,15,25,356,6.1,148,4,2.6,166,4.5,0,2,0,6,10.7,10,17.9,19,2,2,6,9.7,2,4,2,8,0,7,3.5,1,0.5,0,
4,50,4,4,10/2/2022,ARI,@,CAR,"W, 26-16",*,23,32,10,30.3,180,5.6,120,5.2,3.8,87,3.8,2,2,0,0,0,4,13.3,12,1,1,3,8.3,3,5.3,12,26,3,23,1.9,3,0.3,0,
5,51,5,5,10/9/2022,ARI,,PHI,"L, 17-20",*,28,42,16,37.2,293,7,106,3.8,2.5,144,5.1,0,2,2,1,2.6,6,15.8,15,3,1,5,11.1,2,9,4,42,2,39,9.8,3,0.8,0,
6,52,6,6,10/16/2022,ARI,@,SEA,"L, 9-19",*,23,37,10,23.3,333,9,108,4.7,2.9,114,5,1,1,0,3,8.3,4,11.1,2,7,0,13,27.1,5,10.2,10,100,4,92,9.2,8,0.8,2,5
7,53,7,7,10/20/2022,ARI,,NOR,"W, 42-34",*,20,29,9,29,216,7.4,110,5.5,3.8,94,4.7,1,0,0,3,10.3,2,6.9,3,1,0,3,9.1,2,6.5,7,30,3,27,3.9,3,0.4,0,
8,54,8,8,10/30/2022,ARI,@,MIN,"L, 26-34",*,31,44,17,35.4,288,6.5,147,4.7,3.3,179,5.8,2,0,1,3,7,2,4.7,3,3,2,9,17.3,4,7,6,36,0,33,5.5,3,0.5,0,
9,55,9,9,11/6/2022,ARI,,SEA,"L, 21-31",*,25,35,8,20,213,6.1,77,3.1,2.2,98,3.9,0,2,0,3,9.1,2,6.1,3,1,1,7,15.9,4,13.5,8,60,2,58,7.3,2,0.3,0,
10,56,12,12,11/27/2022,ARI,,LAC,"L, 24-25",*,18,29,10,33.3,299,10.3,99,5.5,3.4,92,5.1,0,2,0,0,0,4,14.8,11,3,0,4,12.1,3,7.3,7,56,4,56,8,0,0,0,
,,,,,,,,8-Mar,,259,390,119,28.7,2673,6.9,1114,4.3,2.9,1254,4.8,9,16,3,22,5.9,44,11.9,89,42,15,82,18.5,29,7.9,67,418,23,395,5.9,23,0.3,2,33.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
