,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,58,10,10,11/12/2023,ARI,,ATL,"W, 25-23",*,19,32,11,32.4,333,10.4,135,7.1,4.2,114,6,2,1,0,2,6.5,5,16.1,12,2,0,4,10.5,4,8,6,33,2,31,5.2,2,0.3,0
2,59,11,11,11/19/2023,ARI,@,HOU,"L, 16-21",*,20,30,11,33.3,297,9.9,112,5.6,3.7,102,5.1,2,0,0,1,3.3,2,6.7,11,1,4,8,21.6,4,10.8,7,51,3,45,6.4,6,0.9,0
3,60,12,12,11/26/2023,ARI,,LAR,"L, 14-37",*,27,45,11,22.4,386,8.6,141,5.2,3.1,115,4.3,0,1,0,0,0,7,15.9,10,5,2,11,22.4,0,,1,2,1,2,2,0,0,0
4,61,13,13,12/3/2023,ARI,@,PIT,"W, 24-10",*,13,23,7,28,173,7.5,73,5.6,3.2,72,5.5,3,0,0,2,8.7,3,13,15,0,2,4,14.8,2,8.5,9,20,1,19,2.1,1,0.1,0
5,62,14,15,12/17/2023,ARI,,SFO,"L, 29-45",*,26,39,11,26.2,235,6,102,3.9,2.6,109,4.2,0,2,0,1,2.7,7,18.9,3,0,3,6,13.3,3,7.7,6,49,3,48,8,1,0.2,0
6,63,15,16,12/24/2023,ARI,@,CHI,"L, 16-27",*,24,38,10,25,221,5.8,51,2.1,1.3,179,7.5,1,0,1,1,2.7,5,13.5,5,4,3,9,21.4,2,7,5,32,2,28,5.6,4,0.8,0
7,64,16,17,12/31/2023,ARI,@,PHI,"W, 35-31",*,25,31,16,50,143,4.6,117,4.7,3.8,115,4.6,1,0,0,1,3.2,3,9.7,10,6,2,9,26.5,2,5.5,5,24,2,24,4.8,0,0,0
8,65,17,18,1/7/2024,ARI,,SEA,"L, 20-21",*,22,30,11,35.5,167,5.6,91,4.1,3,171,7.8,1,1,0,2,6.9,3,10.3,7,2,3,6,18.8,1,33,5,33,1,32,6.4,1,0.2,0
,,,,,,,,5-Mar,,176,268,88,30.8,1955,7.3,822,4.7,3.1,977,5.6,10,5,1,10,3.8,35,13.4,73,20,19,57,18.8,18,9.6,44,244,15,229,5.2,15,0.3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
