,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,126,1,1,9/13/2020,NWE,,MIA,"W, 21-11",*,15,19,8,38.1,101,5.3,67,4.5,3.5,88,5.9,1,0,0,0,0,1,5.3,9,3,1,6,27.3,1,12,15,75,8,57,3.8,18,1.2,0,
2,127,2,2,9/20/2020,NWE,@,SEA,"L, 30-35",*,30,44,22,48.9,351,8,271,9,6.2,126,4.2,0,1,0,1,2.3,11,25.6,18,7,4,12,25.5,2,12.5,11,47,5,46,4.2,1,0.1,0,
3,128,3,3,9/27/2020,NWE,,LVR,"W, 36-20",*,17,28,8,26.7,129,4.6,36,2.1,1.3,126,7.4,1,0,0,1,3.6,4,14.3,9,5,2,9,29,1,21,9,27,2,21,2.3,6,0.7,0,
4,129,5,6,10/18/2020,NWE,,DEN,"L, 12-18",*,17,25,7,24.1,149,6,61,3.6,2.4,96,5.6,1,0,0,0,0,6,24,14,1,4,9,28.1,3,17.3,10,76,5,66,6.6,10,1,0,
5,130,6,7,10/25/2020,NWE,,SFO,"L, 6-33",*,9,15,6,37.5,169,11.3,77,8.6,5.1,21,2.3,0,1,0,1,7.1,3,21.4,6,5,0,6,33.3,2,4,5,19,2,14,2.8,5,1,1,5
6,131,7,8,11/1/2020,NWE,@,BUF,"L, 21-24",*,15,25,8,29.6,143,5.7,82,5.5,3.3,92,6.1,0,2,0,2,8.7,6,26.1,11,2,3,7,25,1,5,9,54,3,24,2.7,30,3.3,0,
7,132,8,9,11/9/2020,NWE,@,NYJ,"W, 30-27",*,27,35,13,37.1,281,8,162,6,4.6,112,4.1,0,0,1,0,0,5,14.7,23,1,4,5,13.9,1,3,10,16,5,8,0.8,8,0.8,1,10
8,133,9,10,11/15/2020,NWE,,BAL,"W, 23-17",*,13,17,9,50,82,4.8,52,4,3.1,66,5.1,0,1,0,1,6.3,2,12.5,12,4,1,6,33.3,0,,11,21,3,14,1.3,7,0.6,0,
9,134,10,11,11/22/2020,NWE,@,HOU,"L, 20-27",*,26,40,16,38.1,239,6,172,6.6,4.3,193,7.4,4,2,0,1,2.6,6,15.8,18,11,6,19,45.2,0,,3,6,2,6,2,0,0,0,
10,135,11,12,11/29/2020,NWE,,ARI,"W, 20-17",*,9,18,4,19,105,5.8,35,3.9,1.9,49,5.4,1,0,1,1,5.9,5,29.4,10,1,1,5,23.8,0,,9,46,4,35,3.9,11,1.2,1,9
11,136,12,13,12/6/2020,NWE,@,LAC,"W, 45-0",*,12,19,5,25,116,6.1,36,3,1.9,33,2.8,0,1,0,2,11.1,3,16.7,9,2,0,3,13,3,6.3,14,48,6,23,1.6,25,1.8,1,14
12,137,13,14,12/10/2020,NWE,@,LAR,"L, 3-24",*,9,16,4,20,132,8.3,87,9.7,5.4,32,3.6,1,0,0,2,12.5,4,25,8,1,1,6,27.3,2,5,7,16,1,15,2.1,1,0.1,0,
13,138,14,15,12/20/2020,NWE,@,MIA,"L, 12-22",*,17,27,8,26.7,227,8.4,122,7.2,4.5,87,5.1,0,2,0,0,0,7,28,10,2,0,5,15.6,2,7,9,38,3,32,3.6,6,0.7,0,
14,139,15,16,12/28/2020,NWE,,BUF,"L, 9-38",*,5,10,1,8.3,90,9,19,3.8,1.9,15,3,0,0,0,2,20,3,30,6,1,0,3,21.4,2,8,4,24,1,16,4,8,2,0,
15,140,16,17,1/3/2021,NWE,,NYJ,"W, 28-14",*,21,30,14,42.4,182,6.1,114,5.4,3.8,128,6.1,0,1,0,1,3.4,4,13.8,15,2,3,8,24.2,0,,11,79,5,34,3.1,45,4.1,0,
,,,,,,,,8-Jul,,242,368,133,33.3,2496,6.8,1393,5.8,3.8,1264,5.2,9,11,2,15,4.2,70,19.7,178,48,30,109,26,20,9.3,137,592,55,411,3,181,1.3,4,34.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
