,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,1,1,1,9/8/2024,DEN,@,SEA,"L, 20-26",*,26,42,6,13.6,266,6.3,70,2.7,1.7,68,2.6,0,0,0,2,4.8,9,21.4,10,4,7,13,26.5,5,7,5,35,3,34,6.8,1,0.2,0,
2,2,2,2,9/15/2024,DEN,,PIT,"L, 6-13",*,20,35,8,21.6,325,9.3,119,6,3.4,127,6.4,2,1,0,2,5.9,9,26.5,8,2,4,8,20.5,2,3.5,4,25,2,24,6,1,0.3,0,
3,3,3,3,9/22/2024,DEN,@,TAM,"W, 26-7",*,25,36,8,22.2,248,6.9,117,4.7,3.3,99,4,1,2,0,0,0,4,11.8,17,6,2,8,20.5,3,10,9,47,6,41,4.6,6,0.7,0,
4,4,4,4,9/29/2024,DEN,@,NYJ,"W, 10-9",*,12,25,3,12,245,9.8,26,2.2,1,34,2.8,0,0,0,2,8,10,40,7,5,2,7,25.9,2,4,5,3,0,3,0.6,0,0,0,
5,5,5,5,10/6/2024,DEN,,LVR,"W, 34-18",*,19,27,9,30,144,5.3,59,3.1,2.2,147,7.7,1,0,1,1,3.8,3,11.5,10,1,1,5,15.6,2,6,8,9,2,9,1.1,0,0,0,
6,6,6,6,10/13/2024,DEN,,LAC,"L, 16-23",*,19,33,10,28.6,330,10,151,7.9,4.6,65,3.4,3,1,0,2,6.3,6,18.8,9,0,4,6,14.6,6,10.2,6,61,5,33,5.5,28,4.7,1,6
7,7,7,7,10/17/2024,DEN,@,NOR,"W, 33-10",*,16,26,8,30.8,162,6.2,59,3.7,2.3,105,6.6,0,1,0,2,8,5,20,8,2,0,2,6.1,7,4.7,10,75,4,60,6,15,1.5,1,10
8,8,8,8,10/27/2024,DEN,,CAR,"W, 28-14",*,28,37,15,38.5,396,10.7,178,6.4,4.8,106,3.8,0,1,0,1,2.8,5,13.9,11,3,0,5,12.5,1,3,5,4,2,4,0.8,0,0,0,
9,9,9,9,11/3/2024,DEN,@,BAL,"L, 10-41",*,19,33,9,24.3,253,7.7,123,6.5,3.7,100,5.3,2,1,0,1,3.1,6,18.8,7,1,2,7,17.1,4,9.3,6,36,3,23,3.8,13,2.2,1,6
10,10,10,10,11/10/2024,DEN,@,KAN,"L, 14-16",*,22,30,12,37.5,229,7.6,94,4.3,3.1,121,5.5,0,2,0,2,7.1,4,14.3,10,2,3,7,21.2,1,3,3,-5,0,-5,-1.7,0,0,0,
11,11,11,11,11/17/2024,DEN,,ATL,"W, 38-6",*,28,33,14,41.2,139,4.2,108,3.9,3.3,199,7.1,0,1,0,0,0,2,6.3,5,4,2,7,20,1,3,2,5,0,5,2.5,0,0,0,
12,12,12,12,11/24/2024,DEN,@,LVR,"W, 29-19",*,25,42,13,30.2,298,7.1,153,6.1,3.6,120,4.8,3,3,0,3,7.7,4,10.3,17,5,1,7,15.9,1,5,1,5,0,5,5,0,0,0,
13,13,13,13,12/2/2024,DEN,,CLE,"W, 41-32",*,18,35,11,31.4,402,11.5,141,7.8,4,153,8.5,0,4,0,2,6.5,6,19.4,12,5,2,7,19.4,1,6,3,4,0,4,1.3,0,0,0,
14,14,14,15,12/15/2024,DEN,,IND,"W, 31-13",*,20,33,5,14.7,174,5.3,26,1.3,0.8,104,5.2,1,1,0,5,15.6,2,6.3,6,1,0,2,5.4,3,7.3,8,23,4,22,2.8,1,0.1,0,
15,15,15,16,12/19/2024,DEN,@,LAC,"L, 27-34",*,29,40,14,33.3,117,2.9,32,1.1,0.8,231,8,2,0,0,7,17.5,1,2.5,8,1,2,5,11.4,2,12.5,3,25,2,25,8.3,0,0,0,
16,16,16,17,12/28/2024,DEN,@,CIN,"L, 24-30 (OT)",*,24,31,10,30.3,224,7.2,116,4.8,3.7,103,4.3,1,0,0,0,0,6,19.4,1,2,2,6,15.4,6,4.8,7,31,3,25,3.6,6,0.9,0,
17,17,17,18,1/5/2025,DEN,,KAN,"W, 38-0",*,26,29,15,51.7,164,5.7,131,5,4.5,190,7.3,0,0,0,0,0,1,3.4,2,0,0,0,0,3,14,7,47,5,47,6.7,0,0,0,
,,,,,,,,7-Oct,,376,567,170,28.8,4116,7.3,1703,4.5,3,2072,5.5,16,18,1,32,5.8,83,15.1,148,44,34,102,15.9,50,7.2,92,430,41,359,3.9,71,0.8,3,30.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
