,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,18,1,1,9/7/2025,DEN,,TEN,"W, 20-12",*,25,40,9,22,213,5.3,82,3.3,2.1,94,3.8,0,3,0,1,2.7,7,18.9,9,6,3,10,23.8,1,11,8,18,2,6,0.8,12,1.5,0
2,19,2,2,9/14/2025,DEN,@,IND,"L, 28-29",*,22,30,11,36.7,147,4.9,83,3.8,2.8,123,5.6,1,0,0,0,0,5,16.7,9,1,0,1,3.1,2,10.5,3,20,1,20,6.7,0,0,0
3,20,3,3,9/21/2025,DEN,@,LAC,"L, 20-23",*,14,25,5,18.5,269,10.8,69,4.9,2.8,84,6,0,2,0,0,0,6,26.1,5,4,3,9,28.1,5,7.4,8,33,0,17,2.1,16,2,0
4,21,4,4,9/29/2025,DEN,,CIN,"W, 28-3",*,29,42,17,40.5,280,6.7,101,3.5,2.4,225,7.8,1,0,0,5,11.9,7,16.7,6,7,1,8,18.2,2,4.5,6,7,1,6,1,1,0.2,0
5,22,5,5,10/5/2025,DEN,@,PHI,"W, 21-17",*,24,39,12,29.3,322,8.3,120,5,3.1,122,5.1,0,2,0,2,5.4,9,24.3,3,0,5,7,16.3,2,10,3,22,1,17,5.7,5,1.7,0
6,23,6,6,10/12/2025,DEN,@,NYJ,"W, 13-11",*,19,30,9,29,153,5.1,62,3.3,2.1,112,5.9,1,3,0,2,7.4,4,14.8,4,0,1,2,6.1,2,10,5,24,1,23,4.6,1,0.2,0
7,24,7,7,10/19/2025,DEN,,NYG,"W, 33-32",*,27,50,15,28.8,394,7.9,137,5.1,2.7,142,5.3,5,0,1,5,10.2,9,18.4,6,4,3,9,16.7,2,14,5,48,4,47,9.4,1,0.2,0
8,25,8,8,10/26/2025,DEN,,DAL,"W, 44-24",*,19,29,15,51.7,299,10.3,166,8.7,5.7,81,4.3,0,1,0,3,10.7,5,17.9,4,0,1,1,3.4,0,,1,-1,0,-1,-1,0,0,0
9,26,9,9,11/2/2025,DEN,@,HOU,"W, 18-15",*,18,37,9,23.7,441,11.9,81,4.5,2.2,92,5.1,0,3,0,4,11.8,5,14.7,8,3,3,7,17.5,2,17,3,36,1,34,11.3,2,0.7,0
10,27,10,10,11/6/2025,DEN,,LVR,"W, 10-7",*,16,28,5,17.2,247,8.8,73,4.6,2.6,77,4.8,2,1,0,2,7.4,5,18.5,4,2,2,5,17.2,0,,5,-2,2,-4,-0.8,2,0.4,0
11,28,11,11,11/16/2025,DEN,,KAN,"W, 22-19",*,24,37,11,28.2,312,8.4,153,6.4,4.1,142,5.9,0,2,0,2,5.7,6,17.1,9,8,3,13,32.5,1,8,3,8,0,6,2,2,0.7,0
12,29,12,13,11/30/2025,DEN,@,WAS,"W, 27-26 (OT)",*,29,45,17,37,199,4.4,125,4.3,2.8,196,6.8,1,3,0,6,14.3,3,7.1,5,3,3,7,14.6,2,8,2,16,1,16,8,0,0,0
13,30,13,14,12/7/2025,DEN,@,LVR,"W, 24-17",*,31,38,14,34.1,216,5.7,99,3.2,2.6,113,3.6,0,1,0,1,2.7,2,5.4,10,0,1,4,9.5,1,6,3,15,1,15,5,0,0,0
14,31,14,15,12/14/2025,DEN,,GNB,"W, 34-26",*,23,34,15,44.1,323,9.5,195,8.5,5.7,107,4.7,0,2,0,1,3.1,2,6.3,7,9,3,12,33.3,2,2,7,10,2,3,0.4,7,1,0
15,32,15,16,12/21/2025,DEN,,JAX,"L, 20-34",*,28,47,14,29.2,449,9.6,207,7.4,4.4,145,5.2,1,2,0,4,8.9,8,17.8,9,7,6,14,28.6,1,4,4,11,1,11,2.8,0,0,0
16,33,16,17,12/25/2025,DEN,@,KAN,"W, 20-13",*,26,38,12,30.8,208,5.5,82,3.2,2.2,100,3.8,0,1,0,4,10.8,4,10.8,7,2,5,8,18.2,5,8.4,9,42,4,33,3.7,9,1,0
17,34,17,18,1/4/2026,DEN,,LAC,"W, 19-3",*,14,23,6,22.2,26,1.1,3,0.2,0.1,138,9.9,1,0,0,1,4.3,6,26.1,9,5,2,11,34.4,5,9.6,8,49,3,45,5.6,4,0.5,0
,,,,,,,,14-3,,388,612,196,30.9,4498,7.3,1838,4.7,3,2093,5.4,13,26,1,43,7.4,93,15.9,114,61,45,128,19.1,35,8.8,83,356,25,294,3.5,62,0.7,0
