,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,12,3,3,9/22/2024,LVR,,CAR,"L, 22-36",,9,12,5,38.5,93,7.8,56,6.2,4.7,26,2.9,0,0,0,0,0,2,16.7,2,1,1,3,23.1,0,,0,0,0,0,,0,,0
2,13,5,5,10/6/2024,LVR,@,DEN,"L, 18-34",,10,20,6,28.6,184,9.2,62,6.2,3.1,32,3.2,0,1,0,1,5.3,7,36.8,2,7,3,11,52.4,0,,0,0,0,0,,0,,0
3,14,6,6,10/13/2024,LVR,,PIT,"L, 13-32",*,27,40,11,26.8,238,6,82,3,2.1,145,5.4,2,3,0,0,0,6,16.2,5,1,2,4,9.8,0,,0,0,0,0,,0,,0
4,15,7,7,10/20/2024,LVR,@,LAR,"L, 15-20",*,6,10,3,30,94,9.4,23,3.8,2.3,29,4.8,0,2,0,0,0,2,25,5,1,2,3,30,0,,0,0,0,0,,0,,0
5,16,12,13,11/29/2024,LVR,@,KAN,"L, 17-19",*,23,35,13,34.2,265,7.6,186,8.1,5.3,154,6.7,2,0,1,0,0,5,14.7,11,4,1,8,21.1,0,,1,0,0,0,0,0,0,0
6,17,13,14,12/8/2024,LVR,@,TAM,"L, 13-28",*,11,19,3,15,177,9.3,57,5.2,3,47,4.3,0,1,0,0,0,6,33.3,6,2,2,5,23.8,1,4,6,6,3,3,0.5,3,0.5,0
7,18,15,16,12/22/2024,LVR,,JAX,"W, 19-14",*,24,38,13,32.5,239,6.3,99,4.1,2.6,158,6.6,1,1,0,2,5.4,5,13.5,4,3,3,8,19.5,1,13,7,12,4,6,0.9,6,0.9,0
8,19,16,17,12/29/2024,LVR,@,NOR,"W, 25-10",*,20,35,14,38.9,339,9.7,154,7.7,4.4,88,4.4,0,0,0,2,5.7,9,25.7,8,5,1,7,19.4,0,,3,-1,1,-2,-0.7,1,0.3,0
9,20,17,18,1/5/2025,LVR,,LAC,"L, 20-34",*,24,34,10,29.4,286,8.4,162,6.8,4.8,52,2.2,0,1,0,1,3,7,21.2,7,3,4,7,20,1,9,4,13,2,12,3,1,0.3,0
,,,,,,,,7-Feb,,154,243,78,30.8,1915,7.9,881,5.7,3.6,731,4.7,5,9,1,6,2.6,49,21,50,27,19,56,21.9,3,8.7,21,30,10,19,0.9,11,0.5,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
