,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,6,1,1,9/7/2025,ATL,,TAM,"L, 20-23",*,27,42,16,37.2,288,6.9,109,4,2.6,189,7,1,1,0,2,4.9,6,14.6,10,1,3,5,10.6,4,5.5,6,21,3,15,2.5,6,1,0
2,7,2,2,9/14/2025,ATL,@,MIN,"W, 22-6",*,13,21,5,20.8,132,6.3,76,5.8,3.6,59,4.5,0,0,0,1,4.8,6,28.6,9,2,2,7,29.2,0,,1,-1,0,-1,-1,0,0,0
3,8,3,3,9/21/2025,ATL,@,CAR,"L, 0-30",*,18,36,10,27.8,296,8.2,80,4.4,2.2,92,5.1,1,3,0,2,6.1,12,36.4,7,1,2,3,7.9,2,4.5,2,9,0,9,4.5,0,0,0
4,9,4,4,9/28/2025,ATL,,WAS,"W, 34-27",*,20,26,14,51.9,274,10.5,179,9,6.9,134,6.7,0,0,0,1,3.8,5,19.2,7,0,1,2,7.1,1,5,4,2,1,2,0.5,0,0,0
5,10,5,6,10/13/2025,ATL,,BUF,"W, 24-14",*,20,32,10,29.4,232,7.3,110,5.5,3.4,140,7,1,1,0,0,0,6,19.4,7,0,2,4,11.4,1,7,2,6,0,6,3,0,0,0
6,11,6,7,10/19/2025,ATL,@,SFO,"L, 10-20",*,21,38,13,32.5,357,9.4,150,7.1,3.9,91,4.3,0,2,0,1,2.8,12,33.3,5,4,3,9,21.4,2,3,2,6,0,6,3,0,0,0
7,12,8,9,11/2/2025,ATL,@,NWE,"L, 23-24",*,22,37,13,34.2,304,8.2,168,7.6,4.5,53,2.4,0,4,0,0,0,6,18.2,14,5,3,9,22.5,2,9.5,2,19,1,19,9.5,0,0,0
8,13,9,10,11/9/2025,ATL,@,IND,"L, 25-31 (OT)",*,12,28,10,32.3,302,10.8,130,10.8,4.6,47,3.9,0,2,0,2,7.7,9,34.6,6,5,1,9,29,0,,1,-1,0,-1,-1,0,0,0
9,14,10,11,11/16/2025,ATL,,CAR,"L, 27-30 (OT)",*,13,16,8,50,129,8.1,92,7.1,5.8,83,6.4,0,1,0,1,6.7,1,6.7,5,1,1,2,11.8,1,9,1,9,0,9,9,0,0,0
,,,,,,,,6-Mar,,166,276,99,34.3,2314,8.4,1094,6.6,4,888,5.3,3,14,0,10,3.8,63,24,70,19,18,50,16.6,13,5.9,21,70,5,64,3,6,0.3,0
