,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,14,1,1,9/10/2023,PIT,,SFO,"L, 7-30",*,31,46,9,17.6,327,7.1,122,3.9,2.7,110,3.5,0,0,1,1,2.2,10,22.2,7,14,5,24,46.2,1,4,1,4,0,4,4,0,0,0
2,15,2,2,9/18/2023,PIT,,CLE,"W, 26-22",*,15,30,6,18.8,172,5.7,71,4.7,2.4,151,10.1,2,1,0,2,6.9,6,20.7,9,3,6,11,34.4,0,,4,-6,0,-6,-1.5,0,0,0
3,16,3,3,9/24/2023,PIT,@,LVR,"W, 23-18",*,16,28,10,34.5,228,8.1,115,7.2,4.1,120,7.5,0,1,0,0,0,8,29.6,6,1,4,6,20,1,10,3,11,2,11,3.7,0,0,0
4,17,4,4,10/1/2023,PIT,@,HOU,"L, 6-30",*,15,23,3,11.5,146,6.3,36,2.4,1.6,78,5.2,0,1,0,0,0,5,22.7,3,2,3,8,29.6,1,8,2,9,2,5,2.5,4,2,0
5,18,5,5,10/8/2023,PIT,,BAL,"W, 17-10",*,18,32,11,31.4,305,9.5,158,8.8,4.9,66,3.7,0,1,0,2,6.5,6,19.4,7,0,0,3,8.3,1,2,6,-6,0,-7,-1.2,1,0.2,0
6,19,6,7,10/22/2023,PIT,@,LAR,"W, 24-17",*,17,25,9,33.3,213,8.5,119,7,4.8,111,6.5,0,2,0,2,8.7,2,8.7,10,1,5,8,28.6,1,2,8,0,3,-2,-0.3,2,0.3,0
7,20,7,8,10/29/2023,PIT,,JAX,"L, 10-20",*,10,16,4,23.5,135,8.4,58,5.8,3.6,15,1.5,0,1,0,1,6.7,2,13.3,3,1,4,6,33.3,1,10,1,10,1,9,9,1,1,0
8,21,8,9,11/2/2023,PIT,,TEN,"W, 20-16",*,19,30,9,30,160,5.3,54,2.8,1.8,106,5.6,1,1,0,2,6.9,5,17.2,6,3,2,5,16.7,0,,1,-1,0,-1,-1,0,0,0
9,22,9,10,11/12/2023,PIT,,GNB,"W, 23-19",*,14,23,6,25,108,4.7,41,2.9,1.8,85,6.1,0,1,0,1,4.5,2,9.1,3,0,3,4,15.4,2,7.5,4,16,2,15,3.8,1,0.3,0
10,23,10,11,11/19/2023,PIT,@,CLE,"L, 10-13",*,15,28,4,12.9,169,6,45,3,1.6,61,4.1,3,3,0,0,0,6,24,13,7,1,11,33.3,2,4.5,4,9,2,8,2,1,0.3,0
11,24,11,12,11/26/2023,PIT,@,CIN,"W, 16-10",*,24,33,15,42.9,279,8.5,156,6.5,4.7,122,5.1,1,1,0,0,0,5,15.6,9,1,2,5,13.5,2,4,5,5,0,5,1,0,0,0
12,25,12,13,12/3/2023,PIT,,ARI,"L, 10-24",*,7,10,5,50,46,4.6,49,7,4.9,21,3,2,0,0,0,0,0,0,5,0,2,2,16.7,2,1.5,3,3,0,1,0.3,2,0.7,0
,,,,,,,,5-Jul,,201,324,91,26.2,2288,7.1,1024,5.1,3.2,1046,5.2,9,13,1,11,3.5,57,18.4,81,33,37,93,25.8,14,5.1,42,54,12,42,1,12,0.3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
