,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,33,1,1,9/9/2018,DAL,@,CAR,"L, 8-16",*,19,29,10,28.6,216,7.4,102,5.4,3.5,68,3.6,0,1,0,0,0,9,32.1,12,7,3,16,41,4,5,5,19,1,-1,-0.2,20,4,0,
2,34,2,2,9/16/2018,DAL,,NYG,"W, 20-13",*,16,25,6,24,230,9.2,104,6.5,4.2,56,3.5,0,3,0,1,4.5,3,13.6,10,2,3,5,20,0,,7,45,3,23,3.3,22,3.1,0,
3,35,3,3,9/23/2018,DAL,@,SEA,"L, 13-24",*,19,34,8,20.5,186,5.5,81,4.3,2.4,87,4.6,0,0,0,3,8.8,9,26.5,13,7,4,16,40,1,11,2,21,2,8,4,13,6.5,0,
4,36,4,4,9/30/2018,DAL,,DET,"W, 26-24",*,17,27,12,40,261,9.7,143,8.4,5.3,112,6.6,0,1,0,0,0,3,11.5,6,6,2,11,35.5,1,2,3,2,0,2,0.7,0,0,0,
5,37,5,5,10/7/2018,DAL,@,HOU,"L, 16-19 (OT)",*,18,29,8,25.8,221,7.6,76,4.2,2.6,132,7.3,0,0,0,3,10.3,4,13.8,17,6,3,11,33.3,2,6.5,6,34,1,30,5,4,0.7,0,
6,38,6,6,10/14/2018,DAL,,JAX,"W, 40-7",*,17,27,10,33.3,244,9,120,7.1,4.4,63,3.7,0,2,0,0,0,4,16,4,2,1,6,16.2,7,8.7,11,82,4,64,5.8,18,1.6,0,
7,39,7,7,10/21/2018,DAL,@,WAS,"L, 17-20",*,22,35,10,25.6,361,10.3,194,8.8,5.5,79,3.6,0,0,0,3,8.6,6,17.1,15,4,5,13,29.5,5,6.6,6,33,4,33,5.5,0,0,0,
8,40,8,9,11/5/2018,DAL,,TEN,"L, 14-28",*,21,31,12,33.3,214,6.9,107,5.1,3.5,136,6.5,0,1,0,1,3.3,6,20,6,8,2,15,39.5,2,5.5,2,11,1,11,5.5,0,0,0,
9,41,9,10,11/11/2018,DAL,@,PHI,"W, 27-20",*,26,36,14,35,205,5.7,116,4.5,3.2,154,5.9,0,2,0,1,2.9,5,14.7,8,5,5,14,33.3,2,3,6,9,1,4,0.7,5,0.8,0,
10,42,10,11,11/18/2018,DAL,@,ATL,"W, 22-19",*,22,32,10,29.4,218,6.8,79,3.6,2.5,129,5.9,0,0,0,2,6.3,4,12.5,5,1,3,6,17.6,0,,4,5,2,2,0.5,3,0.8,0,
11,43,11,12,11/22/2018,DAL,,WAS,"W, 31-23",*,22,31,11,31.4,182,5.9,93,4.2,3,196,8.9,0,0,0,0,0,5,16.1,16,5,2,11,29.7,2,4,6,18,3,1,0.2,17,2.8,2,3
12,44,12,13,11/29/2018,DAL,,NOR,"W, 13-10",*,24,28,11,31.4,188,6.7,113,4.7,4,136,5.7,0,0,0,0,0,4,14.3,10,4,1,12,32.4,2,13,5,22,2,8,1.6,14,2.8,0,
13,45,13,14,12/9/2018,DAL,,PHI,"W, 29-23 (OT)",*,42,54,23,40.4,429,7.9,230,5.5,4.3,225,5.4,0,1,0,2,3.8,6,11.3,7,8,6,17,29.8,0,,4,2,0,-1,-0.3,3,0.8,0,
14,46,14,15,12/16/2018,DAL,@,IND,"L, 0-23",*,24,39,12,28.6,265,6.8,92,3.8,2.4,114,4.8,0,1,0,2,5.3,8,21.1,18,3,2,8,19,0,,0,0,0,0,,0,,0,
15,47,15,16,12/23/2018,DAL,,TAM,"W, 27-20",*,20,25,9,34.6,113,4.5,93,4.7,3.7,68,3.4,0,0,0,2,8,2,8,9,2,1,4,15.4,0,,4,2,1,2,0.5,0,0,0,
16,48,16,17,12/30/2018,DAL,@,NYG,"W, 36-35",*,27,44,18,37.5,434,9.9,250,9.3,5.7,137,5.1,0,1,0,2,4.7,11,25.6,12,3,6,13,26.5,1,3,4,0,0,0,0,0,0,0,
,,,,,,,,6-Oct,,356,526,184,31.6,3967,7.5,1993,5.6,3.8,1892,5.3,0,13,0,22,4.3,89,17.3,168,73,49,178,29.1,29,6.7,75,305,25,186,2.5,119,1.6,2,37.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
