,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,70,1,1,9/9/2021,DAL,@,TAM,"L, 29-31",*,42,58,21,35.6,385,6.6,205,4.9,3.5,198,4.7,0,1,0,2,3.5,9,15.8,32,2,6,9,14.5,3,3.3,4,13,0,8,2,5,1.3,0
2,71,2,2,9/19/2021,DAL,@,LAC,"W, 20-17",*,23,27,13,44.8,137,5.1,76,3.3,2.8,161,7,0,0,0,0,0,1,3.7,5,0,1,3,10.3,0,,0,0,0,0,,0,,0
3,72,3,3,9/27/2021,DAL,,PHI,"W, 41-21",*,21,26,14,46.7,232,8.9,135,6.4,5.2,103,4.9,0,1,0,0,0,2,8,5,4,2,10,31.3,2,3,9,6,0,0,0,6,0.7,0
4,73,4,4,10/3/2021,DAL,,CAR,"W, 36-28",*,14,22,10,45.5,157,7.1,98,7,4.5,90,6.4,2,0,0,0,0,4,18.2,14,0,1,1,4.3,1,21,4,35,1,35,8.8,0,0,0
5,74,5,5,10/10/2021,DAL,,NYG,"W, 44-20",*,22,32,12,35.3,267,8.3,196,8.9,6.1,106,4.8,1,2,0,1,3.3,4,13.3,14,2,2,6,17.1,1,6,2,6,0,6,3,0,0,0
6,75,6,6,10/17/2021,DAL,@,NWE,"W, 35-29 (OT)",*,36,51,25,49,462,9.1,248,6.9,4.9,197,5.5,0,2,0,1,2,7,14.3,20,4,4,8,15.4,1,10,3,10,0,10,3.3,0,0,0
7,76,8,9,11/7/2021,DAL,,DEN,"L, 16-30",*,19,39,11,26.8,451,11.6,126,6.6,3.2,106,5.6,0,1,0,4,10.5,9,23.7,8,8,3,13,30.2,2,8,2,16,0,16,8,0,0,0
8,77,9,10,11/14/2021,DAL,,ATL,"W, 43-3",*,24,31,14,45.2,179,5.8,128,5.3,4.1,168,7,0,1,0,2,6.7,3,10,7,2,2,4,12.5,1,4,2,5,1,4,2,1,0.5,0
9,78,10,11,11/21/2021,DAL,@,KAN,"L, 9-19",*,28,43,14,29.2,329,7.7,70,2.5,1.6,146,5.2,0,1,0,3,7.1,4,9.5,10,7,4,16,33.3,0,,0,0,0,0,,0,,0
10,79,11,12,11/25/2021,DAL,,LVR,"L, 33-36 (OT)",*,32,47,13,27.1,351,7.5,217,6.8,4.6,158,4.9,1,0,0,2,4.3,11,23.4,3,3,4,8,16.3,1,3,1,3,0,3,3,0,0,0
11,80,12,13,12/2/2021,DAL,@,NOR,"W, 27-17",*,26,40,10,24.4,337,8.4,145,5.6,3.6,93,3.6,2,0,0,0,0,7,17.5,9,3,6,10,24.4,0,,3,-3,0,-3,-1,0,0,0
12,81,13,14,12/12/2021,DAL,@,WAS,"W, 27-20",*,22,39,11,25.6,233,6,107,4.9,2.7,104,4.7,0,0,0,5,12.8,8,20.5,10,0,2,6,13,3,6,7,15,2,15,2.1,0,0,0
13,82,14,15,12/19/2021,DAL,@,NYG,"W, 21-6",*,28,37,14,35,226,6.1,121,4.3,3.3,96,3.4,0,0,0,3,8.1,2,5.4,15,3,3,9,22.5,0,,2,-1,0,-1,-0.5,0,0,0
14,83,15,16,12/26/2021,DAL,,WAS,"W, 56-14",*,28,39,18,42.9,431,11.1,228,8.1,5.8,102,3.6,0,0,0,2,5.1,7,17.9,12,3,2,8,18.2,2,8.5,4,21,2,20,5,1,0.3,0
15,84,16,17,1/2/2022,DAL,,ARI,"L, 22-25",*,24,38,14,35.9,186,4.9,117,4.9,3.1,109,4.5,3,1,0,3,8.1,4,10.8,17,3,5,9,21.4,3,5.7,5,20,1,8,1.6,12,2.4,0
16,85,17,18,1/8/2022,DAL,@,PHI,"W, 51-26",*,21,27,13,46.4,228,8.4,208,9.9,7.7,87,4.1,1,1,0,0,0,4,15.4,6,2,1,4,14.3,0,,0,0,0,0,,0,,0
,,,,,,,,5-Nov,,410,596,227,36.3,4591,7.7,2425,5.9,4.1,2024,4.9,10,11,0,28,4.8,86,14.7,187,46,48,124,19.2,20,6.4,48,146,7,121,2.5,25,0.5,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
