,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,26,1,1,9/9/2024,SFO,,NYJ,"W, 32-19",*,19,29,12,38.7,264,9.1,166,8.7,5.7,65,3.4,0,0,0,1,3.4,5,17.2,7,3,1,6,18.8,1,11,1,11,1,11,11,0,0,0,
2,27,2,2,9/15/2024,SFO,@,MIN,"L, 17-23",*,28,36,17,40.5,289,8,231,8.3,6.4,88,3.1,0,0,0,0,0,4,11.1,21,7,3,16,36.4,2,6,2,12,1,7,3.5,5,2.5,0,
3,28,3,3,9/22/2024,SFO,@,LAR,"L, 24-27",*,22,30,13,41.9,328,10.9,228,10.4,7.6,64,2.9,0,0,0,3,10,3,10,6,4,4,9,23.7,7,5.3,10,41,4,30,3,11,1.1,0,
4,29,4,4,9/29/2024,SFO,,NWE,"W, 30-13",*,15,27,12,42.9,382,14.1,197,13.1,7.3,91,6.1,1,1,0,1,3.8,5,19.2,9,2,3,6,20,2,6,5,11,2,9,1.8,2,0.4,0,
5,30,5,5,10/6/2024,SFO,,ARI,"L, 23-24",*,19,35,13,35.1,300,8.6,141,7.4,4,103,5.4,2,3,0,2,6.3,5,15.6,5,2,3,7,17.1,4,8.3,4,33,3,32,8,1,0.3,0,
6,31,6,6,10/10/2024,SFO,@,SEA,"W, 36-24",*,18,28,10,35.7,208,7.4,128,7.1,4.6,127,7.1,0,1,0,2,7.4,3,11.1,4,0,4,4,12.9,3,6.7,4,19,2,16,4,3,0.8,1,4
7,32,7,7,10/20/2024,SFO,,KAN,"L, 18-28",*,17,31,8,25,280,9,135,7.9,4.4,77,4.5,1,0,0,1,3.2,8,25.8,8,0,5,6,16.2,5,4.8,8,27,4,15,1.9,12,1.5,1,8
8,33,8,8,10/27/2024,SFO,,DAL,"W, 30-24",*,18,26,9,32.1,184,7.1,114,6.3,4.4,146,8.1,1,1,0,2,8,4,16,11,2,1,5,15.2,5,10.2,8,56,5,47,5.9,9,1.1,0,
9,34,9,10,11/10/2024,SFO,@,TAM,"W, 23-20",*,25,36,17,43.6,252,7,181,7.2,5,172,6.9,1,1,1,0,0,6,17.6,16,3,4,10,23.8,3,6,4,17,1,17,4.3,0,0,0,
10,35,10,11,11/17/2024,SFO,,SEA,"L, 17-20",*,21,28,10,33.3,153,5.5,106,5,3.8,53,2.5,2,0,0,0,0,2,7.1,14,2,2,6,17.1,5,8,5,40,3,34,6.8,6,1.2,0,
11,36,12,13,12/1/2024,SFO,@,BUF,"L, 10-35",*,11,18,4,20,92,5.1,31,2.8,1.7,63,5.7,0,0,1,2,11.8,3,17.6,1,0,0,2,9.1,2,2,2,4,0,3,1.5,1,0.5,0,
12,37,13,14,12/8/2024,SFO,,CHI,"W, 38-13",*,20,25,13,50,237,9.5,167,8.4,6.7,158,7.9,1,0,0,0,0,2,8,8,1,2,4,14.8,1,5,5,11,2,9,1.8,2,0.4,0,
13,38,14,15,12/12/2024,SFO,,LAR,"L, 6-12",*,14,31,7,20.6,335,10.8,71,5.1,2.3,71,5.1,1,0,0,3,9.7,5,16.1,5,0,0,3,8.8,0,,1,3,1,1,1,2,2,0,
14,39,15,16,12/22/2024,SFO,@,MIA,"L, 17-29",*,26,40,16,37.2,180,4.5,111,4.3,2.8,202,7.8,0,1,2,2,5.4,5,13.5,12,2,3,8,17.4,3,8,4,26,2,19,4.8,7,1.8,0,
15,40,16,17,12/30/2024,SFO,,DET,"L, 34-40",*,27,35,17,45.9,325,9.3,213,7.9,6.1,164,6.1,0,2,1,0,0,2,6.3,15,4,3,9,23.7,1,9,3,12,2,9,3,3,1,0,
,,,,,,,,9-Jun,,300,455,178,36.6,3809,8.4,2220,7.4,4.9,1644,5.5,10,10,5,19,4.3,62,14.1,142,32,38,101,19.1,44,6.8,66,323,33,259,3.9,64,1,2,33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
