,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,41,1,1,9/7/2025,SFO,@,SEA,"W, 17-13",*,26,35,15,41.7,260,7.4,156,6,4.5,121,4.7,0,1,0,0,0,4,11.8,6,6,7,14,35.9,3,6.3,5,17,0,16,3.2,1,0.2,0
2,42,4,4,9/28/2025,SFO,,JAX,"L, 21-26",*,22,38,17,43.6,306,8.1,171,7.8,4.5,138,6.3,0,2,0,5,13.9,9,25,3,5,3,9,22.5,1,11,2,13,2,12,6,1,0.5,0
3,43,11,11,11/16/2025,SFO,@,ARI,"W, 41-22",*,19,26,13,48.1,188,7.2,123,6.5,4.7,77,4.1,0,2,0,0,0,1,4.2,9,1,2,4,14.8,0,,1,-7,0,-7,-7,0,0,0
4,44,12,12,11/24/2025,SFO,,CAR,"W, 20-9",*,23,32,11,34.4,193,6,74,3.2,2.3,119,5.2,1,1,0,1,3.2,3,9.7,4,3,1,4,12.1,1,9,6,16,4,12,2,4,0.7,0
5,45,13,13,11/30/2025,SFO,@,CLE,"W, 26-8",*,16,29,11,36.7,252,8.7,124,7.8,4.3,44,2.8,0,6,0,0,0,4,17.4,7,3,6,10,32.3,1,2,2,4,1,4,2,0,0,0
6,46,14,15,12/14/2025,SFO,,TEN,"W, 37-24",*,23,30,18,56.3,251,8.4,168,7.3,5.6,127,5.5,0,2,0,0,0,3,10.7,7,3,4,9,24.3,5,7.8,7,44,4,44,6.3,0,0,0
7,47,15,16,12/22/2025,SFO,@,IND,"W, 48-27",*,25,34,20,57.1,294,8.6,230,9.2,6.8,65,2.6,0,1,0,2,6.1,2,6.1,8,2,0,3,8.3,1,9,2,11,1,8,4,3,1.5,0
8,48,16,17,12/28/2025,SFO,,CHI,"W, 42-38",*,24,33,17,50,253,7.7,195,8.1,5.9,108,4.5,2,0,0,1,3,3,9.1,9,4,0,5,13.2,4,5.3,6,28,3,19,3.2,9,1.5,0
9,49,17,18,1/3/2026,SFO,,SEA,"L, 3-13",*,19,27,8,26.7,129,4.8,77,4.1,2.9,50,2.6,1,0,0,0,0,4,14.8,6,0,5,8,25,2,10.5,2,21,1,18,9,3,1.5,0
,,,,,,,,2-Jul,,197,284,130,44.1,2126,7.5,1318,6.7,4.6,849,4.3,4,15,0,9,3.3,33,12.3,59,27,28,66,21.1,18,7.3,33,147,16,126,3.8,21,0.6,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
