,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,8,1,1,9/7/2025,NOR,,ARI,"L, 13-20",*,27,46,12,25.5,336,7.3,129,4.8,2.8,85,3.1,0,3,2,0,0,5,12.2,9,5,1,7,14.3,2,10.5,4,29,1,23,5.8,6,1.5,0,
2,9,2,2,9/14/2025,NOR,,SFO,"L, 21-26",*,25,34,12,32.4,250,7.4,117,4.7,3.4,90,3.6,0,0,0,2,5.9,4,11.8,6,0,2,5,12.5,3,4.7,4,14,2,-13,-3.3,27,6.8,4,1
3,10,3,3,9/21/2025,NOR,@,SEA,"L, 13-44",*,28,39,12,29.3,314,8.1,116,4.1,3,102,3.6,1,0,0,1,2.6,4,10.3,9,2,2,6,14,2,5,2,10,1,10,5,0,0,0,
4,11,4,4,9/28/2025,NOR,@,BUF,"L, 19-31",*,18,27,7,23.3,120,4.4,83,4.6,3.1,43,2.4,1,3,0,3,12.5,1,4.2,5,2,1,6,17.6,4,10.8,6,49,5,25,4.2,24,4,0,
5,12,5,5,10/5/2025,NOR,,NYG,"W, 26-14",*,21,31,9,29,221,7.1,129,6.1,4.2,96,4.6,1,1,0,3,10,3,10,5,2,2,4,12.9,0,,6,21,3,21,3.5,0,0,0,
6,13,6,6,10/12/2025,NOR,,NWE,"L, 19-25",*,20,26,7,25,221,8.5,128,6.4,4.9,99,5,0,0,0,1,3.8,1,3.8,10,7,2,11,36.7,2,5,4,20,3,17,4.3,3,0.8,0,
7,14,7,7,10/19/2025,NOR,@,CHI,"L, 14-26",*,20,32,9,25,386,12.1,164,8.2,5.1,69,3.5,0,1,0,1,3.2,5,16.1,11,0,3,7,18.9,1,7,2,12,1,12,6,0,0,0,
8,15,8,8,10/26/2025,NOR,,TAM,"L, 3-23",*,15,21,6,25,178,8.5,78,5.2,3.7,58,3.9,0,0,1,0,0,4,20,6,1,1,5,19.2,2,4.5,3,12,1,12,4,0,0,0,
9,16,14,15,12/14/2025,NOR,,CAR,"W, 20-17",,0,1,0,0,4,4,0,,0,0,,0,1,0,0,,0,,1,0,0,0,0,0,,0,0,0,0,,0,,0,
,,,,,,,,7-Feb,,174,257,74,26.9,2030,7.9,944,5.4,3.7,642,3.7,3,9,3,11,4.5,27,11,62,19,14,51,17.5,16,7.1,31,167,17,107,3.5,60,1.9,4,7.8
