,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,5,1,1,9/8/2024,IND,,HOU,"L, 27-29",*,9,19,4,19,312,16.4,161,17.9,8.5,51,5.7,2,0,0,0,0,5,26.3,2,2,0,4,16.7,3,10.7,6,56,5,41,6.8,15,2.5,1,6
2,6,2,2,9/15/2024,IND,@,GNB,"L, 10-16",*,17,34,10,28.6,415,12.2,130,7.6,3.8,74,4.4,0,1,1,1,3.1,8,25,4,4,2,7,18.9,2,16,4,37,2,37,9.3,0,0,0,
3,7,3,3,9/22/2024,IND,,CHI,"W, 21-16",*,10,20,4,19,193,9.7,69,6.9,3.5,98,9.8,1,2,0,2,11.1,3,16.7,3,3,2,6,27.3,1,8,8,24,1,18,2.3,6,0.8,0,
4,8,4,4,9/29/2024,IND,,PIT,"W, 27-24",*,3,4,3,75,56,14,48,16,12,23,7.7,0,0,0,0,0,1,25,1,0,0,0,0,0,,3,24,2,17,5.7,7,2.3,0,
5,9,7,7,10/20/2024,IND,,MIA,"W, 16-10",*,10,24,6,25,241,10,75,7.5,3.1,54,5.4,0,2,0,1,4.5,7,31.8,11,4,4,8,27.6,5,6.8,14,56,3,46,3.3,10,0.7,0,
6,10,8,8,10/27/2024,IND,@,HOU,"L, 20-23",*,10,32,7,18.9,495,15.5,86,8.6,2.7,89,8.9,1,0,1,2,6.5,10,32.3,11,7,4,16,41,2,18.5,6,45,4,34,5.7,11,1.8,0,
7,11,11,11,11/17/2024,IND,@,NYJ,"W, 28-27",*,20,30,13,40.6,315,10.5,181,9.1,6,91,4.6,1,2,0,2,7.1,5,17.9,6,1,3,6,18.8,0,,10,32,3,11,1.1,21,2.1,3,3.3
8,12,12,12,11/24/2024,IND,,DET,"L, 6-24",*,11,28,7,25,373,13.3,97,8.8,3.5,75,6.8,0,3,0,1,4,11,44,12,4,6,10,33.3,2,2.5,10,61,3,39,3.9,22,2.2,2,5
9,13,13,13,12/1/2024,IND,@,NWE,"W, 25-24",*,12,24,5,20.8,388,16.2,62,5.2,2.6,47,3.9,0,0,0,1,4.2,5,20.8,5,1,2,3,12,1,11,9,48,5,33,3.7,15,1.7,1,9
10,14,14,15,12/15/2024,IND,@,DEN,"L, 13-31",*,17,38,8,20,333,8.8,81,4.8,2.1,91,5.4,0,2,0,1,2.8,12,33.3,10,9,7,18,41.9,3,4.7,7,46,2,35,5,11,1.6,1,7
11,15,15,16,12/22/2024,IND,,TEN,"W, 38-30",*,7,11,6,50,89,8.1,48,6.9,4.4,83,11.9,0,0,0,1,9.1,3,27.3,2,0,0,1,7.1,2,5.5,9,70,4,52,5.8,18,2,1,9
,,,,,,,,5-Jun,,126,264,73,26.3,3210,12.2,1038,8.2,3.9,776,6.2,5,12,2,12,4.8,70,28,67,35,30,79,26.4,21,8.8,86,499,34,363,4.2,136,1.6,9,9.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
