,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,5,1,1,9/10/2023,ATL,,CAR,"W, 24-10",*,15,18,6,27.3,63,3.5,40,2.7,2.2,75,5,1,0,0,1,5.6,2,11.1,5,1,1,6,27.3,0,,1,-1,0,-1,-1,0,0,0,
2,6,2,2,9/17/2023,ATL,,GNB,"W, 25-24",*,19,32,10,30.3,247,7.7,132,6.9,4.1,105,5.5,0,2,0,2,6.7,5,16.7,13,4,4,9,23.7,5,4.6,10,39,3,34,3.4,5,0.5,0,
3,7,3,3,9/24/2023,ATL,@,DET,"L, 6-20",*,21,38,9,20,291,7.7,115,5.5,3,86,4.1,3,0,0,4,10.5,6,15.8,6,4,2,13,28.3,1,1,2,3,0,2,1,1,0.5,0,
4,8,4,4,10/1/2023,ATL,@,JAX,"L, 7-23",*,19,31,11,31.4,251,8.1,97,5.1,3.1,94,4.9,1,1,0,1,3.3,3,10,12,1,3,8,22.2,1,6,1,6,0,6,6,0,0,0,
5,9,5,5,10/8/2023,ATL,,HOU,"W, 21-19",*,28,37,17,45.9,305,8.2,206,7.4,5.6,123,4.4,1,0,0,1,2.7,5,13.5,6,3,5,8,21.1,1,5,4,10,1,10,2.5,0,0,0,
6,10,6,6,10/15/2023,ATL,,WAS,"L, 16-24",*,28,47,18,36,414,8.8,195,7,4.1,112,4,1,2,1,1,2.3,5,11.4,13,2,4,9,17.3,2,9,2,18,2,13,6.5,5,2.5,1,2
7,11,7,7,10/22/2023,ATL,@,TAM,"W, 16-13",*,19,25,9,34.6,203,8.1,155,8.2,6.2,95,5,1,2,0,0,0,1,4.3,7,3,0,4,14.3,2,12,6,38,4,37,6.2,1,0.2,0,
8,12,8,8,10/29/2023,ATL,@,TEN,"L, 23-28",*,8,12,4,23.5,95,7.9,47,5.9,3.9,24,3,1,0,0,0,0,2,16.7,2,0,1,6,33.3,1,4,3,26,1,26,8.7,0,0,0,
9,13,10,10,11/12/2023,ATL,@,ARI,"L, 23-25",,4,6,2,33.3,101,16.8,30,7.5,5,9,2.3,0,0,0,0,0,2,33.3,0,0,1,1,16.7,0,,3,11,2,11,3.7,0,0,0,
10,14,11,12,11/26/2023,ATL,,NOR,"W, 24-15",*,13,21,9,42.9,168,8,108,8.3,5.1,60,4.6,2,1,0,2,10,1,5,5,0,1,1,4.2,3,11.3,7,30,3,25,3.6,5,0.7,0,
11,15,12,13,12/3/2023,ATL,@,NYJ,"W, 13-8",*,12,27,9,30,281,10.4,97,8.1,3.6,24,2,0,2,0,1,4,9,36,6,6,4,13,43.3,0,,3,0,0,-1,-0.3,1,0.3,0,
12,16,13,14,12/10/2023,ATL,,TAM,"L, 25-29",*,26,40,15,34.9,394,9.9,214,8.2,5.4,133,5.1,0,0,1,1,2.6,4,10.3,12,0,0,3,6.7,2,6.5,4,15,2,7,1.8,8,2,1,4
13,17,14,15,12/17/2023,ATL,@,CAR,"L, 7-9",*,12,20,8,40,142,7.1,76,6.3,3.8,76,6.3,0,1,0,2,10.5,4,21.1,1,1,1,2,9.5,1,1,5,-2,0,-2,-0.4,0,0,0,
14,18,16,17,12/31/2023,ATL,@,CHI,"L, 17-37",,3,4,1,25,29,7.3,15,5,3.8,2,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,
15,19,17,18,1/7/2024,ATL,@,NOR,"L, 17-48",*,22,30,8,26.7,199,6.6,87,4,2.9,204,9.3,0,0,0,1,3.3,6,20,2,1,1,2,6.7,0,,2,0,0,0,0,0,0,0,
,,,,,,,,9-Jun,,249,388,136,32.5,3183,8.2,1614,6.5,4.2,1222,4.9,12,11,2,17,4.5,55,14.7,90,26,28,85,19.4,19,6.8,53,193,18,167,3.2,26,0.5,2,26.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
