,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,197,1,1,9/9/2018,LAC,,KAN,"L, 28-38",*,34,51,23,44.2,483,9.5,175,5.1,3.4,249,7.3,0,2,0,5,10.2,8,16.3,9,6,5,12,23.1,0,,0,0,0,0,,0,,0
2,198,2,2,9/16/2018,LAC,@,BUF,"W, 31-20",*,23,27,16,55.2,101,3.7,99,4.3,3.7,157,6.8,0,0,0,0,0,3,11.1,7,3,3,8,26.7,1,7,3,5,0,5,1.7,0,0,0
3,199,3,3,9/23/2018,LAC,@,LAR,"L, 23-35",*,18,30,7,22.6,276,9.2,137,7.6,4.6,89,4.9,0,1,0,2,6.9,6,20.7,8,8,3,12,38.7,0,,0,0,0,0,,0,,0
4,200,4,4,9/30/2018,LAC,,SFO,"W, 29-27",*,25,39,14,35,261,6.7,139,5.6,3.6,111,4.4,0,3,0,1,2.8,7,19.4,7,0,1,2,5,0,,4,-3,1,-3,-0.8,0,0,0
5,201,5,5,10/7/2018,LAC,,OAK,"W, 26-10",*,22,27,13,46.4,185,6.9,145,6.6,5.4,194,8.8,0,1,0,0,0,1,3.8,5,0,1,2,7.1,0,,3,-2,0,-2,-0.7,0,0,0
6,202,6,6,10/14/2018,LAC,@,CLE,"W, 38-14",*,11,20,7,33.3,238,11.9,150,13.6,7.5,57,5.2,0,1,0,1,5.3,4,21.1,9,3,3,7,33.3,0,,0,0,0,0,,0,,0
7,203,7,7,10/21/2018,LAC,,TEN,"W, 20-19",*,19,26,12,42.9,219,8.4,166,8.7,6.4,140,7.4,0,1,0,1,4,3,12,12,2,1,5,17.9,0,,1,-1,0,-1,-1,0,0,0
8,204,8,9,11/4/2018,LAC,@,SEA,"W, 25-17",*,13,26,11,39.3,288,11.1,135,10.4,5.2,93,7.2,0,0,0,1,3.8,3,11.5,3,1,3,6,21.4,0,,0,0,0,0,,0,,0
9,205,9,10,11/11/2018,LAC,@,OAK,"W, 20-6",*,18,26,8,29.6,233,9,103,5.7,4,120,6.7,0,0,0,1,3.8,3,11.5,7,3,4,8,28.6,1,1,1,1,0,1,1,0,0,0
10,206,10,11,11/18/2018,LAC,,DEN,"L, 22-23",*,28,43,18,39.1,333,7.7,179,6.4,4.2,222,7.9,0,1,0,2,4.8,5,11.9,18,1,3,7,15.2,0,,1,-4,0,-4,-4,0,0,0
11,207,11,12,11/25/2018,LAC,,ARI,"W, 45-10",*,28,29,17,51.5,119,4.1,117,4.2,4,142,5.1,0,0,0,0,0,1,3.4,9,0,1,5,14.7,1,3,1,3,0,1,1,2,2,0
12,208,12,13,12/2/2018,LAC,@,PIT,"W, 33-30",*,26,36,17,44.7,241,6.7,168,6.5,4.7,131,5,0,0,0,3,8.3,3,8.3,17,5,7,14,36.8,0,,0,0,0,0,,0,,0
13,209,13,14,12/9/2018,LAC,,CIN,"W, 26-21",*,19,29,10,32.3,234,8.1,116,6.1,4,104,5.5,0,0,0,2,6.9,2,6.9,4,2,0,4,12.5,1,5,2,7,0,4,2,3,1.5,0
14,210,14,15,12/13/2018,LAC,@,KAN,"W, 29-28",*,26,38,18,41.9,324,8.5,200,7.7,5.3,113,4.3,0,0,0,1,2.6,4,10.5,6,8,6,19,44.2,0,,0,0,0,0,,0,,0
15,211,15,16,12/22/2018,LAC,,BAL,"L, 10-22",*,23,37,10,24.4,222,6,65,2.8,1.8,116,5,0,3,0,1,2.9,6,17.6,18,2,3,9,21.4,1,1,1,1,0,0,0,1,1,0
16,212,16,17,12/30/2018,LAC,@,DEN,"W, 23-9",*,14,24,10,41.7,190,7.9,98,7,4.1,78,5.6,0,0,0,2,8.3,5,20.8,12,1,2,3,12.5,0,,1,0,0,0,0,0,0,0
,,,,,,,,4-Dec,,347,508,211,39.1,3947,7.8,2192,6.3,4.3,2116,6.1,0,13,0,23,4.6,64,12.9,151,45,46,123,22.6,5,3.4,18,7,1,1,0.1,6,0.3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
