,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,214,1,1,9/11/2022,GNB,@,MIN,"L, 7-23",*,22,34,9,23.7,190,5.6,61,2.8,1.8,134,6.1,1,3,0,2,6.5,4,12.9,8,6,1,11,28.9,0,,1,-1,0,-1,-1,0,0,0
2,215,2,2,9/18/2022,GNB,,CHI,"W, 27-10",*,19,25,10,35.7,139,5.6,104,5.5,4.2,130,6.8,0,1,0,1,4.2,2,8.3,0,9,1,13,44.8,1,7,5,10,1,10,2,0,0,0
3,216,3,3,9/25/2022,GNB,@,TAM,"W, 14-12",*,27,35,11,30.6,177,5.1,77,2.9,2.2,178,6.6,0,4,0,1,3.2,3,9.7,14,3,5,9,25,0,,1,-1,0,-1,-1,0,0,0
4,217,4,4,10/2/2022,GNB,,NWE,"W, 27-24 (OT)",*,21,35,12,33.3,352,10.1,123,5.9,3.5,128,6.1,0,4,0,2,6.5,6,19.4,7,2,2,5,13.5,1,1,1,1,0,1,1,0,0,0
5,218,5,5,10/9/2022,GNB,,NYG,"L, 22-27",*,25,39,15,36.6,291,7.5,72,2.9,1.8,150,6,3,0,0,0,0,7,17.9,15,4,4,10,24.4,0,,0,0,0,0,,0,,0
6,219,6,6,10/16/2022,GNB,,NYJ,"L, 10-27",*,26,41,9,20,354,8.6,146,5.6,3.6,100,3.8,0,0,0,6,14.6,4,9.8,6,0,5,9,20,0,,1,0,0,0,0,0,0,0
7,220,7,7,10/23/2022,GNB,@,WAS,"L, 21-23",*,23,35,10,28.6,214,6.1,102,4.4,2.9,92,4,0,1,1,5,15.2,2,6.1,1,1,1,2,5.7,0,,0,0,0,0,,0,,0
8,221,8,8,10/30/2022,GNB,@,BUF,"L, 17-27",*,19,30,8,25,236,7.9,101,5.3,3.4,102,5.4,1,1,0,1,3.4,5,17.2,4,0,3,5,15.2,1,11,1,11,1,11,11,0,0,0
9,222,9,9,11/6/2022,GNB,@,DET,"L, 9-15",*,23,43,11,25,429,10,182,7.9,4.2,109,4.7,0,3,0,2,5,9,22.5,10,1,4,6,12.8,3,13.7,4,40,2,40,10,0,0,0
10,223,10,10,11/13/2022,GNB,,DAL,"W, 31-28 (OT)",*,14,20,8,36.4,226,11.3,134,9.6,6.7,90,6.4,0,1,0,1,5.3,3,15.8,14,1,0,3,13,1,7,2,4,1,4,2,0,0,0
11,224,11,11,11/17/2022,GNB,,TEN,"L, 17-27",*,24,39,11,27.5,351,9,137,5.7,3.5,90,3.8,0,1,0,3,7.9,8,21.1,5,0,2,3,7.5,0,,0,0,0,0,,0,,0
12,225,12,12,11/27/2022,GNB,@,PHI,"L, 33-40",*,11,16,8,42.1,96,6,62,5.6,3.9,78,7.1,0,0,0,2,12.5,1,6.3,5,1,1,5,26.3,0,,1,-1,0,-1,-1,0,0,0
13,226,13,13,12/4/2022,GNB,@,CHI,"W, 28-19",*,18,31,11,35.5,324,10.5,90,5,2.9,92,5.1,0,3,0,3,10.7,6,21.4,4,0,0,0,0,1,6,3,4,0,4,1.3,0,0,0
14,227,14,15,12/19/2022,GNB,,LAR,"W, 24-12",*,22,30,15,45.5,132,4.4,75,3.4,2.5,154,7,0,2,0,1,3.6,4,14.3,8,3,2,8,24.2,0,,3,-3,0,-3,-1,0,0,0
15,228,15,16,12/25/2022,GNB,@,MIA,"W, 26-20",*,24,38,11,27.5,329,8.7,139,5.8,3.7,99,4.1,2,0,0,3,7.9,5,13.2,23,1,1,4,9.5,2,9.5,7,18,2,13,1.9,5,0.7,0
16,229,16,17,1/1/2023,GNB,,MIN,"W, 41-17",*,15,24,9,36,260,10.8,92,6.1,3.8,67,4.5,1,0,1,2,8.7,4,17.4,5,2,2,5,19.2,1,2,1,2,1,0,0,2,2,0
17,230,17,18,1/8/2023,GNB,,DET,"L, 16-20",*,17,27,9,31,242,9,119,7,4.4,86,5.1,0,1,0,5,19.2,3,11.5,7,3,5,10,32.3,2,4,3,10,1,5,1.7,5,1.7,0
,,,,,,,,9-Aug,,350,542,177,30.8,4342,8,1816,5.2,3.4,1879,5.4,8,25,2,40,7.8,76,14.8,136,37,39,108,18.4,13,7.8,34,94,9,82,2.4,12,0.4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
