,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,232,1,1,9/9/2024,NYJ,@,SFO,"L, 19-32",*,13,21,8,36.4,153,7.3,74,5.7,3.5,93,7.2,0,0,0,2,9.5,4,19,2,1,2,4,18.2,0,,1,-1,0,-1,-1,0,0,0,
2,233,2,2,9/15/2024,NYJ,@,TEN,"W, 24-17",*,18,30,9,28.1,167,5.6,80,4.4,2.7,96,5.3,1,1,0,3,10.3,7,24.1,8,1,1,4,12.1,1,2,2,1,0,1,0.5,0,0,0,
3,234,3,3,9/19/2024,NYJ,,NWE,"W, 24-3",*,27,35,16,43.2,226,6.5,129,4.8,3.7,152,5.6,0,0,0,2,5.7,5,14.3,6,0,2,4,10,3,6,3,18,2,18,6,0,0,0,
4,235,4,4,9/29/2024,NYJ,,DEN,"L, 9-10",*,24,42,10,21.3,306,7.3,129,5.4,3.1,96,4,0,1,0,2,4.9,11,26.8,21,1,8,14,27.5,4,4.5,5,26,1,25,5,1,0.2,1,5
5,236,5,5,10/6/2024,NYJ,@,MIN,"L, 17-23",*,29,54,13,22.8,410,7.6,121,4.2,2.2,123,4.2,2,3,0,2,3.9,12,23.5,24,4,8,15,26.3,0,,0,0,0,0,,0,,0,
6,237,6,6,10/14/2024,NYJ,,BUF,"L, 20-23",*,23,35,12,31.6,259,7.4,156,6.8,4.5,138,6,2,1,0,3,8.8,1,2.9,6,2,2,7,18.4,0,,0,0,0,0,,0,,0,
7,238,7,7,10/20/2024,NYJ,@,PIT,"L, 15-37",*,24,39,13,32.5,203,5.2,90,3.8,2.3,186,7.8,4,0,0,1,2.6,9,23.1,9,0,7,8,20,0,,0,0,0,0,,0,,0,
8,239,8,8,10/27/2024,NYJ,@,NWE,"L, 22-25",*,17,28,12,41.4,274,9.8,166,9.8,5.9,67,3.9,1,3,0,2,8,4,16,5,2,4,7,24.1,0,,0,0,0,0,,0,,0,
9,240,9,9,10/31/2024,NYJ,,HOU,"W, 21-13",*,22,32,11,32.4,185,5.8,99,4.5,3.1,112,5.1,1,0,0,2,6.3,4,12.5,13,1,2,5,14.7,0,,1,-1,0,-1,-1,0,0,0,
10,241,10,10,11/10/2024,NYJ,@,ARI,"L, 6-31",*,22,35,10,26.3,215,6.1,68,3.1,1.9,83,3.8,0,2,0,1,3,5,15.2,8,4,2,9,23.7,0,,0,0,0,0,,0,,0,
11,242,11,11,11/17/2024,NYJ,,IND,"L, 27-28",*,22,29,7,21.9,124,4.3,62,2.8,2.1,122,5.5,0,0,0,1,3.4,4,13.8,7,0,2,5,15.2,1,7,1,7,0,7,7,0,0,0,
12,243,12,13,12/1/2024,NYJ,,SEA,"L, 21-26",*,21,39,12,29.3,305,7.8,63,3,1.6,122,5.8,0,1,0,3,7.9,11,28.9,10,3,4,9,21.4,1,7,2,6,1,6,3,0,0,0,
13,244,13,14,12/8/2024,NYJ,@,MIA,"L, 26-32 (OT)",*,27,39,18,42.9,259,6.6,160,5.9,4.1,179,6.6,1,0,0,3,7.7,5,12.8,10,10,3,16,38.1,0,,0,0,0,0,,0,,0,
14,245,14,15,12/15/2024,NYJ,@,JAX,"W, 32-25",*,16,30,10,32.3,394,13.1,128,8,4.3,161,10.1,0,2,0,2,7.1,4,14.3,2,3,2,6,16.7,5,9,6,45,3,41,6.8,4,0.7,0,
15,246,15,16,12/22/2024,NYJ,,LAR,"L, 9-19",*,28,42,14,32.6,221,5.3,97,3.5,2.3,159,5.7,0,0,0,4,9.5,6,14.3,1,0,0,1,2.3,1,6,1,6,0,6,6,0,0,0,
16,247,16,17,12/29/2024,NYJ,@,BUF,"L, 14-40",*,12,18,3,13.6,78,4.3,31,2.6,1.7,81,6.8,1,1,0,2,11.8,2,11.8,1,1,1,6,27.3,0,,0,0,0,0,,0,,0,
17,248,17,18,1/5/2025,NYJ,,MIA,"W, 32-20",*,23,36,14,35.9,217,6,125,5.4,3.5,149,6.5,0,1,0,4,11.4,4,11.4,8,2,2,7,17.9,0,,0,0,0,0,,0,,0,
,,,,,,,,12-May,,368,584,192,30.8,3996,6.8,1778,4.8,3,2119,5.8,13,16,0,39,6.9,98,17.3,141,35,52,127,19.8,16,6.4,22,107,7,102,4.6,5,0.2,1,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
