,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,201,1,1,9/9/2018,PIT,@,CLE,"T, 21-21 (OT)",*,23,41,17,37.8,382,9.3,122,5.3,3,213,9.3,0,0,0,3,7.3,9,22,20,7,1,12,26.1,1,15,3,16,2,16,5.3,0,0,0
2,202,2,2,9/16/2018,PIT,,KAN,"L, 37-42",*,39,60,25,41,537,9,186,4.8,3.1,266,6.8,0,0,0,0,0,18,30,9,8,2,11,17.5,2,4.5,2,9,1,-1,-0.5,10,5,0
3,203,3,3,9/24/2018,PIT,@,TAM,"W, 30-27",*,30,38,16,39,267,7,140,4.7,3.7,213,7.1,0,1,0,1,2.7,4,10.8,12,4,3,10,24.4,0,,4,-1,1,-1,-0.3,0,0,0
4,204,4,4,9/30/2018,PIT,,BAL,"L, 14-26",*,27,47,12,25,332,7.1,133,4.9,2.8,141,5.2,0,1,0,0,0,10,21.7,13,2,1,4,8.3,0,,1,-1,0,-1,-1,0,0,0
5,205,5,5,10/7/2018,PIT,,ATL,"W, 41-17",*,19,29,11,37.9,234,8.1,123,6.5,4.2,127,6.7,0,0,0,1,3.4,5,17.2,8,1,2,3,9.7,2,8,2,16,2,16,8,0,0,0
6,206,6,6,10/14/2018,PIT,@,CIN,"W, 28-21",*,32,46,16,34.8,401,8.7,165,5.2,3.6,204,6.4,0,1,0,1,2.2,6,13.3,13,8,1,9,19.6,0,,1,-1,0,-1,-1,0,0,0
7,207,7,8,10/28/2018,PIT,,CLE,"W, 33-18",*,24,36,14,37.8,291,8.1,137,5.7,3.8,120,5,0,1,0,2,5.7,6,17.1,11,3,0,4,10.8,0,,2,6,2,4,2,2,1,0
8,208,8,9,11/4/2018,PIT,@,BAL,"W, 23-16",*,28,47,17,35.4,298,6.3,121,4.3,2.6,149,5.3,0,1,0,6,13,8,17.4,17,5,5,11,22.4,1,3,2,4,1,4,2,0,0,0
9,209,9,10,11/8/2018,PIT,,CAR,"W, 52-21",*,22,25,14,53.8,129,5.2,103,4.7,4.1,225,10.2,0,0,0,0,0,1,4,8,2,0,3,10.7,2,14,3,27,2,20,6.7,7,2.3,0
10,210,10,11,11/18/2018,PIT,@,JAX,"W, 20-16",*,27,47,10,20.4,387,8.2,175,6.5,3.7,139,5.1,0,0,2,4,8.9,8,17.8,1,2,4,8,16.3,0,,2,1,1,-1,-0.5,2,1,0
11,211,11,12,11/25/2018,PIT,@,DEN,"L, 17-24",*,41,56,18,31,395,7.1,222,5.4,4,240,5.9,0,0,0,3,5.4,9,16.1,12,2,2,6,10,2,9,2,18,1,18,9,0,0,0
12,212,12,13,12/2/2018,PIT,,LAC,"L, 30-33",*,29,45,15,32.6,376,8.4,173,6,3.8,108,3.7,0,0,0,2,4.4,8,17.8,2,5,1,7,15.2,0,,0,0,0,0,,0,,0
13,213,13,14,12/9/2018,PIT,@,OAK,"L, 21-24",*,25,29,16,53.3,137,4.7,91,3.6,3.1,191,7.6,0,0,0,0,0,2,6.9,6,1,1,3,10,0,,0,0,0,0,,0,,0
14,214,14,15,12/16/2018,PIT,,NWE,"W, 17-10",*,22,34,13,36.1,369,10.9,151,6.9,4.4,84,3.8,0,1,0,0,0,7,21.2,7,4,5,11,30.6,0,,2,-3,0,-3,-1.5,0,0,0
15,215,15,16,12/23/2018,PIT,@,NOR,"L, 28-31",*,33,50,21,39.6,461,9.2,210,6.4,4.2,170,5.2,0,1,1,0,0,14,29.2,17,1,3,7,13,1,5,2,4,0,-7,-3.5,11,5.5,0
16,216,16,17,12/30/2018,PIT,,CIN,"W, 16-13",*,31,45,13,28.3,258,5.7,75,2.4,1.7,212,6.8,0,0,0,1,2.2,7,15.6,8,3,6,10,21.3,1,5,3,3,0,3,1,0,0,0
,,,,,,,,9/6/2001,,452,675,248,35.5,5254,7.8,2327,5.1,3.4,2802,6.2,0,7,3,24,3.6,122,18.3,164,58,37,119,16.7,12,8.3,31,98,13,66,2.1,32,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
