,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
2,2,4,4,9/30/2018,ARI,,SEA,"L, 17-20",*,15,27,9,32.1,245,9.1,103,6.9,3.8,77,5.1,0,2,0,3,12,4,16,6,1,6,8,26.7,2,6.5,2,13,1,5,2.5,8,4,0
3,3,5,5,10/7/2018,ARI,@,SFO,"W, 28-18",*,10,25,5,19.2,277,11.1,96,9.6,3.8,74,7.4,0,2,1,3,13.6,8,36.4,7,4,3,8,30.8,0,,3,-3,0,-3,-1,0,0,0
4,4,6,6,10/14/2018,ARI,@,MIN,"L, 17-27",*,21,31,9,25.7,209,6.7,140,6.7,4.5,100,4.8,0,0,0,1,3.2,4,12.9,11,3,2,9,25.7,0,,0,0,0,0,,0,,0
5,5,7,7,10/18/2018,ARI,,DEN,"L, 10-45",*,21,39,8,17.8,290,7.4,122,5.8,3.1,72,3.4,0,0,0,1,2.6,7,17.9,14,0,6,12,26.1,1,14,1,14,1,14,14,0,0,0
6,6,8,8,10/28/2018,ARI,,SFO,"W, 18-15",*,23,40,15,34.9,288,7.2,133,5.8,3.3,119,5.2,0,5,0,1,2.9,8,22.9,9,3,2,8,17.8,2,6,2,12,1,8,4,4,2,0
7,7,9,10,11/11/2018,ARI,@,KAN,"L, 14-26",*,22,39,13,29.5,289,7.4,112,5.1,2.9,96,4.4,0,3,0,0,0,8,22.2,4,4,8,17,38.6,0,,1,-1,0,-1,-1,0,0,0
8,8,10,11,11/18/2018,ARI,,OAK,"L, 21-23",*,9,20,7,33.3,137,6.9,35,3.9,1.8,101,11.2,0,1,0,5,26.3,2,10.5,3,5,0,6,28.6,0,,1,0,0,0,0,0,0,0
9,9,11,12,11/25/2018,ARI,@,LAC,"L, 10-45",*,12,19,4,19,137,7.2,29,2.4,1.5,76,6.3,0,2,0,2,11.8,0,0,2,2,0,4,19,0,,2,-1,0,-1,-0.5,0,0,0
10,10,12,13,12/2/2018,ARI,@,GNB,"W, 20-17",*,11,26,8,28.6,250,9.6,118,10.7,4.5,31,2.8,0,4,0,0,0,6,27.3,13,8,1,11,37.9,1,33,2,32,1,-8,-4,40,20,0
11,11,13,14,12/9/2018,ARI,,DET,"L, 3-17",*,26,41,17,38.6,380,9.3,178,6.8,4.3,62,2.4,0,0,0,1,2.4,9,22,7,0,3,6,13,2,1.5,2,3,0,1,0.5,2,1,0
12,12,14,15,12/16/2018,ARI,@,ATL,"L, 14-40",*,13,22,5,17.9,91,4.1,52,4,2.4,80,6.2,0,1,0,2,9.5,1,4.8,12,4,1,11,37.9,1,9,2,8,0,8,4,0,0,0
13,13,15,16,12/23/2018,ARI,,LAR,"L, 9-31",*,12,23,2,7.4,207,9,42,3.5,1.8,45,3.8,0,0,0,1,4.3,5,21.7,3,1,4,9,29,4,12.3,4,49,3,38,9.5,11,2.8,0
14,14,16,17,12/30/2018,ARI,@,SEA,"L, 24-27",*,18,34,8,20,385,11.3,104,5.8,3.1,45,2.5,0,1,0,1,3,13,39.4,13,3,0,9,22.5,0,,0,0,0,0,,0,,0
,,,,,,,,11-Mar,,217,393,112,25.6,3262,8.3,1301,6,3.3,977,4.5,0,22,1,21,5.7,76,20.5,106,39,38,122,27,14,10.4,23,138,8,68,3,70,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
