,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,1,2,2,9/15/2019,PIT,,SEA,"L, 26-28",,12,19,7,36.8,150,7.9,69,5.8,3.6,43,3.6,1,0,0,1,5.3,6,31.6,6,1,1,2,10,1,7,1,7,1,2,2,5,5,0,
2,2,3,3,9/22/2019,PIT,@,SFO,"L, 20-24",*,14,27,5,17.2,156,5.8,34,2.4,1.3,140,10,0,1,0,2,7.7,8,30.8,7,6,3,11,33.3,4,3.8,4,15,1,9,2.3,6,1.5,1,4
3,3,4,4,9/30/2019,PIT,,CIN,"W, 27-3",*,24,28,10,35.7,91,3.3,62,2.6,2.2,167,7,0,2,0,0,0,2,7.7,10,2,0,2,7.1,0,,3,-3,0,-3,-1,0,0,0,
4,4,5,5,10/6/2019,PIT,,BAL,"L, 23-26 (OT)",*,13,20,5,23.8,221,11.1,74,5.7,3.7,57,4.4,0,1,0,0,0,5,26.3,8,2,1,4,19,0,,0,0,0,0,,0,,0,
5,5,7,8,10/28/2019,PIT,,MIA,"W, 27-14",*,20,36,12,31.6,479,13.3,151,7.6,4.2,100,5,1,1,0,1,2.9,7,20,22,2,5,9,23.7,0,,0,0,0,0,,0,,0,
6,6,8,9,11/3/2019,PIT,,IND,"W, 26-24",*,26,35,11,30.6,192,5.5,79,3,2.3,112,4.3,0,2,0,1,3,5,15.2,6,8,2,11,29.7,1,7,3,5,1,5,1.7,0,0,0,
7,7,9,10,11/10/2019,PIT,,LAR,"W, 17-12",*,22,38,10,24.4,250,6.6,142,6.5,3.7,100,4.5,1,3,0,5,14.3,6,17.1,13,9,6,18,43.9,0,,2,-1,0,-1,-0.5,0,0,0,
8,8,10,11,11/14/2019,PIT,@,CLE,"L, 7-21",*,23,44,10,20.8,439,10,92,4,2.1,129,5.6,0,2,0,2,4.8,9,21.4,24,5,7,16,32.7,1,13,2,15,2,14,7,1,0.5,0,
9,9,11,12,11/24/2019,PIT,@,CIN,"W, 16-10",*,8,16,3,17.6,178,11.1,53,6.6,3.3,32,4,1,2,0,0,0,4,28.6,5,0,3,4,21.1,2,1.5,4,4,1,0,0,4,1,0,
10,10,15,16,12/22/2019,PIT,@,NYJ,"L, 10-16",,14,20,7,33.3,130,6.5,80,5.7,4,49,3.5,0,0,0,4,20,2,10,12,1,2,4,18.2,1,5,2,0,0,-5,-2.5,5,2.5,0,
,,,,,,,,5-May,,176,283,80,26.8,2286,8.1,836,4.8,3,929,5.3,4,14,0,16,5.9,54,20.1,113,36,30,81,26.3,10,5,21,42,6,21,1,21,1,1,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
