,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,27,1,1,9/8/2024,DAL,@,CLE,"W, 33-17",,0,0,0,,0,,0,,,0,,0,0,0,0,,0,,0,0,0,0,,0,,1,-1,0,-1,-1,0,0,0
2,28,2,2,9/15/2024,DAL,,NOR,"L, 19-44",,1,3,0,0,15,5,-2,-2,-0.7,8,8,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0
3,29,6,6,10/13/2024,DAL,,DET,"L, 9-47",,8,11,4,36.4,43,3.9,22,2.8,2,24,3,0,0,0,0,0,3,27.3,2,1,0,1,9.1,0,,1,2,1,2,2,0,0,0
4,30,8,9,11/3/2024,DAL,@,ATL,"L, 21-27",,13,25,7,28,204,8.2,69,5.3,2.8,46,3.5,0,0,0,2,8,7,28,6,4,2,6,24,0,,1,4,1,4,4,0,0,0
5,31,9,10,11/10/2024,DAL,,PHI,"L, 6-34",*,13,23,3,12.5,148,6.4,15,1.2,0.7,30,2.3,2,0,0,0,0,4,17.4,4,0,3,4,16.7,0,,2,2,1,0,0,2,1,0
6,32,10,11,11/18/2024,DAL,,HOU,"L, 10-34",*,32,55,17,28.3,346,6.3,152,4.8,2.8,202,6.3,3,2,0,3,5.7,10,18.9,4,6,1,12,19.7,1,2,2,2,0,0,0,2,1,0
7,33,11,12,11/24/2024,DAL,@,WAS,"W, 34-26",*,24,32,12,36.4,193,6,132,5.5,4.1,115,4.8,3,0,0,1,3.1,2,6.3,10,1,1,3,9.1,0,,4,1,0,1,0.3,0,0,0
8,34,12,13,11/28/2024,DAL,,NYG,"W, 27-20",*,21,36,10,27.8,271,7.5,76,3.6,2.1,119,5.7,2,0,0,3,8.3,3,8.3,5,0,3,3,8.1,1,4,5,0,0,-2,-0.4,2,0.4,0
9,35,13,14,12/9/2024,DAL,,CIN,"L, 20-27",*,16,31,9,26.5,233,7.5,97,6.1,3.1,86,5.4,2,0,0,2,6.5,9,29,9,4,4,11,31.4,1,3,2,5,1,1,0.5,4,2,0
10,36,14,15,12/15/2024,DAL,@,CAR,"W, 30-14",*,18,29,11,36.7,118,4.1,114,6.3,3.9,100,5.6,3,0,1,2,7.1,3,10.7,8,0,2,3,9.7,1,9,4,5,0,5,1.3,0,0,0
11,37,15,16,12/22/2024,DAL,,TAM,"W, 26-24",*,26,35,12,33.3,243,6.9,146,5.6,4.2,146,5.6,0,2,0,0,0,6,18.2,13,8,2,11,30.6,0,,3,-4,0,-4,-1.3,0,0,0
12,38,16,17,12/29/2024,DAL,@,PHI,"L, 7-41",*,15,28,7,24.1,263,9.4,81,5.4,2.9,66,4.4,2,0,0,0,0,8,28.6,7,1,1,3,10.3,0,,1,2,1,1,1,1,1,0
,,,,,,,,7-May,,187,308,92,28.7,2077,6.7,902,4.8,2.9,942,5,17,5,1,13,4.3,55,18.2,68,25,19,57,17.5,4,4.5,26,18,5,7,0.3,11,0.4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
