,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,97,1,1,9/9/2018,SEA,@,DEN,"L, 24-27",*,19,33,10,25.6,337,10.2,141,7.4,4.3,157,8.3,0,0,0,2,6.1,7,21.2,9,6,4,16,40,1,5,2,5,0,5,2.5,0,0,0,
2,98,2,2,9/17/2018,SEA,@,CHI,"L, 17-24",*,22,36,10,23.8,289,8,158,7.2,4.4,68,3.1,0,0,3,1,3,6,18.2,5,12,2,20,44.4,3,5.7,3,17,2,9,3,8,2.7,1,3
3,99,3,3,9/23/2018,SEA,,DAL,"W, 24-13",*,16,26,10,35.7,241,9.3,108,6.8,4.2,84,5.3,0,2,0,2,8.3,3,12.5,8,4,4,10,35.7,0,,2,-1,0,-1,-0.5,0,0,0,
4,100,4,4,9/30/2018,SEA,@,ARI,"W, 20-17",*,19,26,6,21.4,136,5.2,81,4.3,3.1,91,4.8,0,2,1,1,4.3,3,13,11,6,1,9,30,2,5.5,4,21,2,21,5.3,0,0,0,
5,101,5,5,10/7/2018,SEA,,LAR,"L, 31-33",*,13,21,9,39.1,240,11.4,139,10.7,6.6,59,4.5,0,2,0,0,0,1,5.3,4,6,1,9,39.1,0,,0,0,0,0,,0,,0,
6,102,6,6,10/14/2018,SEA,@,OAK,"W, 27-3",*,17,23,11,45.8,224,9.7,134,7.9,5.8,88,5.2,0,1,0,1,4.5,1,4.5,1,0,2,3,11.5,2,7,6,20,1,9,1.5,11,1.8,1,6
7,103,7,8,10/28/2018,SEA,@,DET,"W, 28-14",*,14,17,11,57.9,187,11,184,13.1,10.8,64,4.6,0,0,0,0,0,3,17.6,9,2,1,5,26.3,0,,2,15,1,15,7.5,0,0,0,
8,104,8,9,11/4/2018,SEA,,LAC,"L, 17-25",*,26,39,10,23.3,234,6,105,4,2.7,130,5,0,0,2,1,2.7,8,21.6,6,3,3,10,21.3,4,10,5,41,3,33,6.6,8,1.6,0,
9,105,9,10,11/11/2018,SEA,@,LAR,"L, 31-36",*,17,26,9,30,217,8.3,114,6.7,4.4,62,3.6,0,1,1,1,4.2,4,16.7,6,4,3,11,29.7,7,9.9,9,92,6,88,9.8,4,0.4,0,
10,106,10,11,11/15/2018,SEA,,GNB,"W, 27-24",*,21,31,12,35.3,313,10.1,157,7.5,5.1,68,3.2,0,2,0,2,6.9,3,10.3,15,1,0,4,11.8,0,,5,17,1,17,3.4,0,0,0,
11,107,11,12,11/25/2018,SEA,@,CAR,"W, 30-27",*,22,31,13,39.4,327,10.5,222,10.1,7.2,117,5.3,0,2,1,1,3.6,3,10.7,20,5,0,7,21.2,0,,3,4,1,4,1.3,0,0,0,
12,108,12,13,12/2/2018,SEA,,SFO,"W, 43-16",*,11,17,7,35,147,8.6,88,8,5.2,97,8.8,0,2,0,1,6.7,2,13.3,3,2,4,9,39.1,3,5,4,14,0,12,3,2,0.5,0,
13,109,13,14,12/10/2018,SEA,,MIN,"W, 21-7",*,10,20,4,18.2,200,10,31,3.1,1.6,41,4.1,0,3,0,1,5.9,6,35.3,7,10,0,12,50,2,25,7,61,4,61,8.7,0,0,0,
14,110,14,15,12/16/2018,SEA,@,SFO,"L, 23-26 (OT)",*,23,31,12,35.3,211,6.8,104,4.5,3.4,133,5.8,0,3,0,0,0,3,10.7,11,7,1,11,31.4,1,5,5,15,0,15,3,0,0,0,
15,111,15,16,12/23/2018,SEA,,KAN,"W, 38-31",*,18,29,15,46.9,349,12,222,12.3,7.7,49,2.7,0,2,0,1,3.7,7,25.9,14,9,5,17,47.2,4,15.3,8,57,2,19,2.4,38,4.8,1,8
16,112,16,17,12/30/2018,SEA,,ARI,"W, 27-24",*,12,21,7,25.9,191,9.1,85,7.1,4,67,5.6,0,2,0,3,15.8,1,5.3,16,5,0,11,39.3,1,1,2,-2,0,-2,-1,0,0,0,
,,,,,,,,6-Oct,,280,427,156,32.6,3843,9,2073,7.4,4.9,1375,4.9,0,24,8,18,4.6,61,15.4,145,82,31,164,32.3,30,9.6,67,376,23,305,4.6,71,1.1,3,22.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
