,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,129,1,1,9/13/2020,SEA,@,ATL,"W, 38-25",*,31,35,15,39.5,205,5.9,162,5.2,4.6,160,5.2,0,0,0,1,2.9,2,5.7,13,4,6,13,33.3,1,2,3,29,1,25,8.3,4,1.3,0
2,130,2,2,9/20/2020,SEA,,NWE,"W, 35-30",*,21,28,11,36.7,258,9.2,155,7.4,5.5,133,6.3,0,3,0,1,4,3,12,11,4,5,11,32.4,4,9.5,5,39,4,36,7.2,3,0.6,0
3,131,3,3,9/27/2020,SEA,,DAL,"W, 38-31",*,27,40,15,34.1,394,9.9,241,8.9,6,74,2.7,0,2,0,6,15.8,2,5.3,7,3,4,11,22.9,4,6,6,22,1,22,3.7,0,0,0
4,132,4,4,10/4/2020,SEA,@,MIA,"W, 31-23",*,24,34,17,47.2,305,9,192,8,5.6,168,7,0,1,0,1,3,6,18.2,11,2,3,7,18.9,1,8,4,5,1,3,0.8,2,0.5,0
5,133,5,5,10/11/2020,SEA,,MIN,"W, 27-26",*,20,32,12,33.3,391,12.2,143,7.2,4.5,74,3.7,0,2,0,2,6.7,7,23.3,14,4,5,13,31.7,5,11.6,5,58,3,58,11.6,0,0,0
6,134,6,7,10/25/2020,SEA,@,ARI,"L, 34-37 (OT)",*,33,50,21,40.4,451,9,230,7,4.6,158,4.8,0,2,0,2,4.2,9,18.8,26,6,7,15,26.3,5,10,6,84,3,81,13.5,3,0.5,0
7,135,7,8,11/1/2020,SEA,,SFO,"W, 37-27",*,27,37,16,41,260,7,133,4.9,3.6,128,4.7,0,1,0,1,2.8,6,16.7,18,5,1,8,20,1,21,6,23,1,23,3.8,0,0,0
8,136,8,9,11/8/2020,SEA,@,BUF,"L, 34-44",*,28,41,15,32.6,380,9.3,245,8.8,6,145,5.2,1,1,0,0,0,6,15,18,4,8,17,36.2,1,4,2,5,1,3,1.5,2,1,0
9,137,9,10,11/15/2020,SEA,@,LAR,"L, 16-23",*,22,37,13,30.2,367,9.9,105,4.8,2.8,143,6.5,1,2,0,1,2.9,8,22.9,13,3,7,16,32,7,8.6,8,60,3,58,7.3,2,0.3,0
10,138,10,11,11/19/2020,SEA,,ARI,"W, 28-21",*,23,28,12,38.7,188,6.7,96,4.2,3.4,101,4.4,0,1,0,3,11.1,1,3.7,10,5,5,13,34.2,7,6.1,10,42,1,38,3.8,4,0.4,0
11,139,11,12,11/30/2020,SEA,@,PHI,"W, 23-17",*,22,31,11,33.3,247,8,141,6.4,4.5,89,4,0,1,0,1,3.3,7,23.3,4,2,5,9,25.7,2,5.5,6,12,1,11,1.8,1,0.2,0
12,140,12,13,12/6/2020,SEA,,NYG,"L, 12-17",*,27,43,13,27.1,380,8.8,155,5.7,3.6,108,4,0,1,0,4,9.5,5,11.9,15,6,4,15,27.8,6,7.5,7,45,0,45,6.4,0,0,0
13,141,13,14,12/13/2020,SEA,,NYJ,"W, 40-3",*,21,27,15,55.6,202,7.5,115,5.5,4.3,91,4.3,0,0,0,2,7.4,3,11.1,6,3,1,4,14.8,0,,1,-1,0,-1,-1,0,0,0
14,142,14,15,12/20/2020,SEA,@,WAS,"W, 20-15",*,18,27,6,22.2,139,5.1,62,3.4,2.3,59,3.3,0,1,0,0,0,6,23.1,8,4,3,7,23.3,3,18.3,6,52,2,51,8.5,1,0.2,0
15,143,15,16,12/27/2020,SEA,,LAR,"W, 20-9",*,20,32,10,27,318,9.9,143,7.2,4.5,82,4.1,0,2,1,0,0,6,20.7,14,5,3,13,33.3,2,5,3,9,1,9,3,0,0,0
16,144,16,17,1/3/2021,SEA,@,SFO,"W, 26-23",*,20,36,11,28.9,324,9,67,3.4,1.9,114,5.7,2,4,0,2,6.3,7,21.9,18,5,2,9,21.4,4,7.5,5,29,2,27,5.4,2,0.4,0
,,,,,,,,4-Dec,,384,558,213,35.2,4809,8.6,2385,6.2,4.3,1827,4.8,4,24,1,27,5.1,84,15.8,206,65,69,181,27.5,53,8.7,83,513,25,489,5.9,24,0.3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
