,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,159,1,1,9/6/2018,ATL,@,PHI,"L, 12-18",*,21,43,9,19.1,380,8.8,159,7.6,3.7,92,4.4,0,3,0,2,5,10,25,12,3,6,13,26.5,2,4,2,8,1,8,4,0,0,0,
2,160,2,2,9/16/2018,ATL,,CAR,"W, 31-24",*,23,28,12,42.9,293,10.5,139,6,5,133,5.8,0,0,0,2,7.1,3,10.7,7,0,2,2,6.5,3,5.7,4,18,3,17,4.3,1,0.3,3,1.3
3,161,3,3,9/23/2018,ATL,,NOR,"L, 37-43 (OT)",*,26,35,19,50,308,8.8,222,8.5,6.3,152,5.8,0,2,0,0,0,5,15.2,10,7,3,13,31.7,3,4.3,4,12,0,7,1.8,5,1.3,0,
4,162,4,4,9/30/2018,ATL,,CIN,"L, 36-37",*,29,39,20,47.6,430,11,256,8.8,6.6,163,5.6,0,1,0,1,2.6,6,15.8,11,6,5,14,32.6,1,1,2,5,1,5,2.5,0,0,0,
5,163,5,5,10/7/2018,ATL,@,PIT,"L, 17-41",*,26,38,13,29.5,327,8.6,129,5,3.4,156,6,0,2,0,1,2.8,9,25,18,4,2,12,26.7,1,10,1,10,1,10,10,0,0,0,
6,164,6,6,10/14/2018,ATL,,TAM,"W, 34-29",*,31,41,19,45.2,395,9.6,223,7.2,5.4,132,4.3,0,1,0,3,7.5,5,12.5,17,2,3,6,14,1,13,1,13,1,13,13,0,0,0,
7,165,7,7,10/22/2018,ATL,,NYG,"W, 23-20",*,31,39,15,35.7,305,7.8,231,7.5,5.9,148,4.8,0,2,0,2,5.4,3,8.1,14,7,2,12,28.6,0,,2,1,1,1,0.5,0,0,0,
8,166,8,9,11/4/2018,ATL,@,WAS,"W, 38-14",*,26,38,17,42.5,235,6.2,112,4.3,2.9,238,9.2,0,1,0,2,5.4,3,8.1,17,2,2,6,15,0,,0,0,0,0,,0,,0,
9,167,9,10,11/11/2018,ATL,@,CLE,"L, 16-28",*,38,52,19,35.2,248,4.8,185,4.9,3.6,145,3.8,0,1,1,4,8,6,12,14,5,1,8,14.3,2,6.5,3,13,0,8,2.7,5,1.7,0,
10,168,10,11,11/18/2018,ATL,,DAL,"L, 19-22",*,24,34,13,35.1,332,9.8,168,7,4.9,123,5.1,0,2,0,3,9.4,1,3.1,9,4,4,11,29.7,0,,1,1,1,1,1,0,0,0,
11,169,11,12,11/22/2018,ATL,@,NOR,"L, 17-31",*,35,47,18,34,407,8.7,240,6.9,5.1,137,3.9,0,1,0,1,2.2,6,13,14,1,8,15,27.3,2,8,2,16,1,16,8,0,0,0,
12,170,12,13,12/2/2018,ATL,,BAL,"L, 16-26",*,16,26,6,20.7,275,10.6,84,5.3,3.2,47,2.9,0,0,0,2,7.7,5,19.2,17,2,0,5,16.7,1,5,2,4,1,4,2,0,0,0,
13,171,13,14,12/9/2018,ATL,@,GNB,"L, 20-34",*,28,42,16,36.4,358,8.5,161,5.8,3.8,101,3.6,0,0,0,4,9.5,6,14.3,15,4,3,9,20.5,0,,1,0,0,0,0,0,0,0,
14,172,14,15,12/16/2018,ATL,,ARI,"W, 40-14",*,22,36,14,36.8,253,7,144,6.5,4,87,4,0,0,0,7,19.4,4,11.1,12,2,1,5,12.8,1,15,3,18,3,18,6,0,0,0,
15,173,15,16,12/23/2018,ATL,@,CAR,"W, 24-10",*,15,26,8,29.6,285,11,128,8.5,4.9,111,7.4,0,0,0,2,7.7,4,15.4,6,1,2,4,14.8,0,,1,-1,0,-1,-1,0,0,0,
16,174,16,17,12/30/2018,ATL,@,TAM,"W, 34-32",*,31,44,18,40,379,8.6,227,7.3,5.2,151,4.9,0,2,0,0,0,3,7.1,8,3,4,8,17.4,1,10,4,7,1,6,1.5,1,0.3,0,
,,,,,,,,9-Jul,,422,608,236,36.3,5210,8.6,2808,6.7,4.6,2116,5,0,18,1,36,6.1,79,13.4,201,53,48,143,21.4,18,6.7,33,125,15,113,3.4,12,0.4,3,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
