,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,206,1,1,9/12/2021,ATL,,PHI,"L, 6-32",*,21,35,8,21.1,179,5.1,97,4.6,2.8,67,3.2,0,2,0,1,3,9,27.3,4,3,6,12,30.8,1,8,2,8,0,8,4,0,0,0
2,207,2,2,9/19/2021,ATL,@,TAM,"L, 25-48",*,35,46,15,31.9,170,3.7,113,3.2,2.5,187,5.3,3,0,0,1,2.2,5,10.9,16,3,6,10,20.8,1,3,2,3,0,0,0,3,1.5,0
3,208,3,3,9/26/2021,ATL,@,NYG,"W, 17-14",*,27,36,12,30.8,148,4.1,70,2.6,1.9,173,6.4,0,0,0,0,0,5,13.9,11,3,3,9,23.1,0,,1,-1,0,-1,-1,0,0,0
4,209,4,4,10/3/2021,ATL,,WAS,"L, 30-34",*,25,42,15,34.9,442,10.5,194,7.8,4.6,89,3.6,0,1,1,1,2.5,7,17.5,14,0,5,6,13.6,1,17,1,17,1,17,17,0,0,0
5,210,5,5,10/10/2021,ATL,,NYJ,"W, 27-20",*,33,45,19,42.2,336,7.5,235,7.1,5.2,107,3.2,1,0,0,1,2.2,6,13.3,15,8,7,15,33.3,0,,1,-1,0,-1,-1,0,0,0
6,211,6,7,10/24/2021,ATL,@,MIA,"W, 30-28",*,25,40,15,36.6,368,9.2,256,10.2,6.4,80,3.2,1,1,0,3,7.7,5,12.8,12,5,5,11,26.2,1,2,3,0,0,-2,-0.7,2,0.7,0
7,212,7,8,10/31/2021,ATL,,CAR,"L, 13-19",*,20,27,11,36.7,194,7.2,76,3.8,2.8,70,3.5,0,0,0,0,0,2,7.4,7,2,4,9,29,1,3,2,3,0,0,0,3,1.5,0
8,213,8,9,11/7/2021,ATL,@,NOR,"W, 27-25",*,23,30,14,43.8,262,8.7,193,8.4,6.4,150,6.5,0,0,0,1,3.3,4,13.3,10,1,7,10,28.6,3,3.3,5,8,2,7,1.4,1,0.2,0
9,214,9,10,11/14/2021,ATL,@,DAL,"L, 3-43",*,9,21,7,30.4,167,8,81,9,3.9,36,4,1,0,0,2,9.5,4,19,7,2,4,8,34.8,0,,0,0,0,0,,0,,0
10,215,10,11,11/18/2021,ATL,,NWE,"L, 0-25",*,19,28,7,21.9,177,6.3,91,4.8,3.3,62,3.3,0,0,0,0,0,7,25,5,0,8,12,37.5,0,,0,0,0,0,,0,,0
11,216,11,12,11/28/2021,ATL,@,JAX,"W, 21-14",*,19,29,12,40,120,4.1,66,3.5,2.3,124,6.5,0,1,0,1,3.6,4,14.3,15,0,3,4,12.9,1,7,4,6,0,6,1.5,0,0,0
12,217,12,13,12/5/2021,ATL,,TAM,"L, 17-30",*,30,41,14,30.4,250,6.1,152,5.1,3.7,145,4.8,0,1,0,2,5,4,10,18,2,6,13,27.7,1,2,3,2,0,1,0.3,1,0.3,0
13,218,13,14,12/12/2021,ATL,@,CAR,"W, 29-21",*,19,28,10,35.7,199,7.1,96,5.1,3.4,94,4.9,0,1,0,2,7.4,4,14.8,7,5,7,12,42.9,0,,4,3,2,0,0,3,0.8,0
14,219,14,15,12/19/2021,ATL,@,SFO,"L, 13-31",*,19,32,8,22.9,254,7.9,179,9.4,5.6,57,3,0,2,0,3,10,3,10,5,3,7,13,33.3,4,4.5,5,20,2,19,3.8,1,0.2,0
15,220,15,16,12/26/2021,ATL,,DET,"W, 20-16",*,18,24,10,37,179,7.5,139,7.7,5.8,76,4.2,1,2,0,1,4.5,0,0,8,2,1,6,22.2,0,,4,5,2,4,1,1,0.3,0
16,221,16,17,1/2/2022,ATL,@,BUF,"L, 15-29",*,13,23,9,32.1,201,8.7,53,4.1,2.3,144,11.1,0,2,0,1,4.8,4,19,4,4,3,12,41.4,1,6,2,7,0,7,3.5,0,0,0
17,222,17,18,1/9/2022,ATL,,NOR,"L, 20-30",*,20,33,9,25,341,10.3,153,7.7,4.6,63,3.2,2,2,0,1,3.2,6,19.4,8,5,2,10,27,1,2,1,2,0,2,2,0,0,0
,,,,,,,,10-Jul,,375,560,195,32.5,3987,7.1,2244,6,4,1724,4.6,9,15,1,21,3.9,79,14.5,166,48,84,172,27.9,16,4.9,40,82,9,67,1.7,15,0.4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
