,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,1,10,11,11/16/2025,CLE,,BAL,"L, 16-23",,4,16,2,11.1,110,6.9,31,7.8,1.9,16,4,0,1,0,1,6.7,2,13.3,8,1,6,9,42.9,3,5.3,3,16,1,13,4.3,3,1,0,
2,2,11,12,11/23/2025,CLE,@,LVR,"W, 24-10",*,11,20,4,19,195,9.8,63,5.7,3.2,146,13.3,0,2,0,0,0,6,33.3,4,5,3,9,42.9,0,,1,-1,0,-1,-1,0,0,0,
3,3,12,13,11/30/2025,CLE,,SFO,"L, 8-26",*,16,25,7,25,173,6.9,73,4.6,2.9,76,4.8,0,3,0,2,9.1,3,13.6,1,1,3,7,24.1,1,6,1,6,0,6,6,0,0,0,
4,4,13,14,12/7/2025,CLE,,TEN,"L, 29-31",*,23,42,13,29.5,305,7.3,102,4.4,2.4,262,11.4,2,5,0,2,5.4,4,10.8,9,10,11,23,48.9,3,9.7,3,29,2,20,6.7,9,3,1,3
5,5,14,15,12/14/2025,CLE,@,CHI,"L, 3-31",*,18,35,7,17.5,303,8.7,118,6.6,3.4,59,3.3,0,4,0,0,0,9,29,9,10,10,25,59.5,2,12,2,24,1,22,11,2,1,0,
6,6,15,16,12/21/2025,CLE,,BUF,"L, 20-23",*,20,29,8,25.8,54,1.9,15,0.8,0.5,142,7.1,3,2,0,1,3.7,2,7.4,9,0,7,9,25.7,4,12.3,4,49,2,24,6,25,6.3,0,
7,7,16,17,12/28/2025,CLE,,PIT,"W, 13-6",*,17,23,9,36,189,8.2,137,8.1,6,49,2.9,0,0,0,0,0,3,13,8,2,2,6,21.4,3,7,4,20,0,14,3.5,6,1.5,0,
8,8,17,18,1/4/2026,CLE,@,CIN,"W, 20-18",*,11,22,4,14.3,194,8.8,31,2.8,1.4,80,7.3,2,1,0,0,0,6,28.6,5,5,3,14,46.7,2,11,3,26,1,17,5.7,9,3,0,
,,,,,,,,5-Mar,,120,212,54,23,1523,7.2,570,4.8,2.7,830,6.9,7,18,0,6,3.1,35,18,53,34,45,102,40.3,18,9.3,21,169,7,115,5.5,54,2.6,1,21
