,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,1,3,3,9/21/2025,NOR,@,SEA,"L, 13-44",,0,2,0,0,33,16.5,0,,0,0,,0,0,0,0,0,2,100,1,0,0,0,0,0,,0,0,0,0,,0,,0,
2,2,8,8,10/26/2025,NOR,,TAM,"L, 3-23",,17,30,7,21.9,241,8,89,5.2,3,39,2.3,1,0,0,1,3.3,9,30,7,1,1,4,11.4,3,4,3,12,1,8,2.7,4,1.3,1,3
3,3,9,9,11/2/2025,NOR,@,LAR,"L, 10-34",*,15,24,8,32,219,9.1,129,8.6,5.4,47,3.1,1,0,1,0,0,5,21.7,2,7,0,8,32,0,,1,2,0,2,2,0,0,0,
4,4,10,10,11/9/2025,NOR,@,CAR,"W, 17-7",*,19,27,9,31,259,9.6,148,7.8,5.5,134,7.1,0,1,0,2,7.7,4,15.4,6,3,2,7,23.3,1,3,4,-3,0,-3,-0.8,0,0,0,
5,5,11,12,11/23/2025,NOR,,ATL,"L, 10-24",*,30,43,11,22.9,314,7.3,129,4.3,3,114,3.8,2,1,0,2,4.8,6,14.3,5,8,3,16,32,2,6,7,22,2,17,2.4,5,0.7,0,
6,6,12,13,11/30/2025,NOR,@,MIA,"L, 17-21",*,26,38,12,28.6,269,7.1,159,6.1,4.2,80,3.1,3,4,0,1,2.9,1,2.9,13,2,3,9,20,3,5.3,6,18,1,14,2.3,4,0.7,1,6
7,7,13,14,12/7/2025,NOR,@,TAM,"W, 24-20",*,13,20,9,39.1,158,7.9,68,5.2,3.4,76,5.8,1,0,0,3,15,1,5,1,0,1,4,16.7,1,13,7,55,3,38,5.4,17,2.4,0,
8,8,14,15,12/14/2025,NOR,,CAR,"W, 20-17",*,24,32,14,37.8,265,8.3,181,7.5,5.7,91,3.8,0,0,1,2,6.5,2,6.5,13,1,0,6,15,3,6,8,32,2,27,3.4,5,0.6,0,
9,9,15,16,12/21/2025,NOR,,NYJ,"W, 29-6",*,32,49,16,30.8,388,7.9,135,4.2,2.8,173,5.4,0,2,1,1,2.2,11,23.9,11,2,2,7,13,2,4,2,8,0,8,4,0,0,0,
10,10,16,17,12/28/2025,NOR,@,TEN,"W, 34-26",*,22,27,11,37.9,282,10.4,165,7.5,6.1,168,7.6,0,0,0,0,0,4,14.8,5,3,3,8,25.8,2,4.5,4,6,0,6,1.5,0,0,0,
11,11,17,18,1/4/2026,NOR,@,ATL,"L, 17-19",*,23,35,10,25.6,277,7.9,130,5.7,3.7,129,5.6,0,1,0,1,2.9,5,14.7,9,1,0,5,11.9,3,11.3,3,34,2,33,11,1,0.3,0,
,,,,,,,,6-May,,221,327,107,29.9,2705,8.3,1333,6,4.1,1051,4.8,8,9,3,13,4.1,50,15.9,73,28,15,74,19.6,20,6.3,45,186,11,150,3.3,36,0.8,2,22.5
