,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,157,1,1,9/9/2018,WAS,@,ARI,"W, 24-6",*,21,30,13,39.4,101,3.4,75,3.6,2.5,180,8.6,0,3,0,1,3.7,5,18.5,17,7,7,17,47.2,3,4.3,8,14,2,12,1.5,2,0.3,0,
2,158,2,2,9/16/2018,WAS,,IND,"L, 9-21",*,33,46,16,32.7,326,7.1,170,5.2,3.7,122,3.7,0,1,2,1,2.3,3,7,3,5,1,9,17.6,2,5.5,4,14,1,9,2.3,5,1.3,0,
3,159,3,3,9/23/2018,WAS,,GNB,"W, 31-17",*,12,20,7,35,202,10.1,119,9.9,6,101,8.4,0,0,0,0,0,6,30,5,4,1,5,20.8,4,5,7,20,3,13,1.9,7,1,0,
4,160,4,5,10/8/2018,WAS,@,NOR,"L, 19-43",*,23,39,12,28.6,355,9.1,156,6.8,4,119,5.2,0,1,0,2,5.3,9,23.7,9,11,1,15,35.7,0,,2,7,2,7,3.5,0,0,0,
5,161,5,6,10/14/2018,WAS,,CAR,"W, 23-17",*,21,36,10,25.6,260,7.2,119,5.7,3.3,44,2.1,0,3,0,1,3,5,15.2,9,7,1,11,26.2,3,3.3,6,13,2,13,2.2,0,0,0,
6,162,6,7,10/21/2018,WAS,,DAL,"W, 20-17",*,14,25,8,30.8,280,11.2,97,6.9,3.9,81,5.8,0,2,0,3,13,5,21.7,6,3,2,6,20.7,3,5.3,4,16,0,11,2.8,5,1.3,0,
7,163,7,8,10/28/2018,WAS,@,NYG,"W, 20-13",*,20,32,10,31.3,235,7.3,85,4.3,2.7,93,4.7,0,1,0,2,6.5,5,16.1,9,1,4,5,15.2,1,3,3,13,1,13,4.3,0,0,0,
8,164,8,9,11/4/2018,WAS,,ATL,"L, 14-38",*,30,46,15,30.6,386,8.4,179,6,3.9,127,4.2,0,2,0,1,2.3,6,13.6,11,7,3,13,26,1,22,1,22,1,-9,-9,31,31,1,1
9,165,9,10,11/11/2018,WAS,@,TAM,"W, 16-3",*,19,27,7,23.3,226,8.4,124,6.5,4.6,54,2.8,0,1,0,3,11.5,3,11.5,6,0,2,5,16.1,1,9,2,16,0,16,8,0,0,0,
10,166,10,11,11/18/2018,WAS,,HOU,"L, 21-23",*,12,27,8,26.7,279,10.3,81,6.8,3,54,4.5,0,0,0,1,3.7,9,33.3,7,6,1,10,30.3,3,9,4,33,3,32,8,1,0.3,0,
,,,,,,,,4-Jun,,205,328,106,30.3,2650,8.1,1205,5.9,3.7,975,4.8,0,14,2,15,4.8,56,17.9,82,51,23,96,25.9,21,6.2,41,168,15,117,2.9,51,1.2,1,41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
