,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,63,1,1,9/10/2023,SEA,,LAR,"L, 13-30",*,16,26,7,25,127,4.9,41,2.6,1.6,71,4.4,0,2,0,2,8.3,5,20.8,8,3,3,8,27.6,1,6,1,6,0,6,6,0,0,0
2,64,2,2,9/17/2023,SEA,@,DET,"W, 37-31 (OT)",*,32,41,18,42.9,259,6.3,210,6.6,5.1,118,3.7,1,2,1,0,0,4,10.5,16,13,0,14,31.1,3,6.7,3,20,0,20,6.7,0,0,0
3,65,3,3,9/24/2023,SEA,,CAR,"W, 37-27",*,23,36,14,36.8,297,8.3,146,6.3,4.1,150,6.5,0,1,0,2,5.7,9,25.7,7,4,6,12,31.6,0,,4,-4,0,-4,-1,0,0,0
4,66,4,4,10/2/2023,SEA,@,NYG,"W, 24-3",*,13,20,4,18.2,78,3.9,51,3.9,2.6,59,4.5,3,0,0,0,0,4,20,8,4,1,7,31.8,0,,0,0,0,0,,0,,0
5,67,5,6,10/15/2023,SEA,@,CIN,"L, 13-17",*,27,41,13,28.9,349,8.5,184,6.8,4.5,142,5.3,1,4,0,0,0,5,13.5,10,4,9,17,35.4,3,5.7,4,20,1,20,5,0,0,0
6,68,6,7,10/22/2023,SEA,,ARI,"W, 20-10",*,18,24,11,42.3,229,9.5,176,9.8,7.3,43,2.4,0,0,0,3,12.5,0,0,6,1,0,3,10.7,2,5,6,10,2,7,1.2,3,0.5,0
7,69,7,8,10/29/2023,SEA,,CLE,"W, 24-20",*,23,37,12,31.6,280,7.6,122,5.3,3.3,132,5.7,0,1,0,0,0,9,25,10,4,3,8,21.1,0,,2,-3,0,-3,-1.5,0,0,0
8,70,8,9,11/5/2023,SEA,@,BAL,"L, 3-37",*,13,28,5,15.6,219,7.8,100,7.7,3.6,57,4.4,3,3,0,1,4,4,16,6,0,1,5,15.2,1,5,2,4,0,-1,-0.5,5,2.5,0
9,71,9,10,11/12/2023,SEA,,WAS,"W, 29-26",*,31,47,16,33.3,278,5.9,112,3.6,2.4,257,8.3,3,4,1,1,2.4,4,9.5,15,5,4,10,20.4,1,13,1,13,1,13,13,0,0,0
10,72,10,11,11/19/2023,SEA,@,LAR,"L, 16-17",*,22,34,12,33.3,235,6.9,119,5.4,3.5,114,5.2,1,1,1,2,6.3,3,9.4,11,2,5,9,25,0,,1,-1,0,-1,-1,0,0,0
11,73,11,12,11/23/2023,SEA,,SFO,"L, 13-31",*,18,27,6,18.2,290,10.7,110,6.1,4.1,70,3.9,0,0,0,1,3.7,3,11.1,9,1,3,10,28.6,2,10,4,21,1,21,5.3,0,0,0
12,74,12,13,11/30/2023,SEA,@,DAL,"L, 35-41",*,23,41,16,39,231,5.6,145,6.3,3.5,189,8.2,2,1,1,3,7.7,7,17.9,15,7,3,10,23.8,1,5,2,6,2,6,3,0,0,0
13,75,15,16,12/24/2023,SEA,@,TEN,"W, 20-17",*,25,36,14,35.9,232,6.4,135,5.4,3.8,92,3.7,0,0,0,1,2.8,8,22.2,10,6,0,9,22.5,1,2,1,2,0,2,2,0,0,0
14,76,16,17,12/31/2023,SEA,,PIT,"L, 23-30",*,23,33,13,38.2,225,6.8,159,6.9,4.8,131,5.7,1,0,0,4,12.1,3,9.1,6,5,8,14,37.8,3,11,3,33,1,33,11,0,0,0
15,77,17,18,1/7/2024,SEA,@,ARI,"W, 21-20",*,16,28,8,28.6,171,6.1,100,6.3,3.6,89,5.6,3,2,0,4,15.4,1,3.8,8,4,0,4,13.3,2,13,3,28,2,24,8,4,1.3,0
,,,,,,,,7-Aug,,323,499,169,31.9,3500,7,1910,5.9,3.8,1714,5.3,18,21,4,24,5.1,69,14.6,145,63,46,140,25.5,20,7.9,37,155,10,143,3.9,12,0.3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
