,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,142,1,1,9/8/2019,DET,@,ARI,"T, 27-27 (OT)",*,27,45,17,35.4,518,11.5,228,8.4,5.1,157,5.8,1,1,2,1,2.4,10,23.8,18,3,8,14,28,2,5,3,22,2,22,7.3,0,0,0,
2,143,2,2,9/15/2019,DET,,LAC,"W, 13-10",*,22,30,12,40,310,10.3,165,7.5,5.5,80,3.6,0,2,0,1,3.6,5,17.9,7,2,1,3,9.4,2,4.5,4,13,1,11,2.8,2,0.5,0,
3,144,3,3,9/22/2019,DET,@,PHI,"W, 27-24",*,18,32,11,34.4,294,9.2,151,8.4,4.7,50,2.8,0,1,0,2,6.5,6,19.4,10,4,4,8,24.2,1,3,3,1,0,1,0.3,0,0,0,
4,145,4,4,9/29/2019,DET,,KAN,"L, 30-34",*,21,34,17,44.7,407,12,173,8.2,5.1,118,5.6,2,0,0,1,2.9,7,20.6,11,2,2,8,20,2,9,2,18,1,9,4.5,9,4.5,1,2
5,146,5,6,10/14/2019,DET,@,GNB,"L, 22-23",*,18,32,10,28.6,328,10.3,153,8.5,4.8,112,6.2,1,0,0,3,9.4,6,18.8,15,2,0,5,13.9,1,10,3,9,1,9,3,0,0,0,
6,147,6,7,10/20/2019,DET,,MIN,"L, 30-42",*,30,45,21,44.7,386,8.6,224,7.5,5,140,4.7,1,0,0,1,2.2,8,17.8,12,2,2,6,12.8,0,,0,0,0,0,,0,,0,
7,148,7,8,10/27/2019,DET,,NYG,"W, 31-26",*,25,32,13,36.1,390,12.2,246,9.8,7.7,96,3.8,0,1,0,1,3.2,5,16.1,7,3,1,8,22.2,0,,2,-3,0,-3,-1.5,0,0,0,
8,149,8,9,11/3/2019,DET,@,OAK,"L, 24-31",*,26,41,16,37.2,464,11.3,269,10.3,6.6,137,5.3,0,0,0,0,0,12,29.3,7,6,1,9,20,2,3,3,6,0,5,1.7,1,0.3,0,
,,,,,,,,3/4/2001,,187,291,117,37.9,3097,10.6,1609,8.6,5.5,890,4.8,5,5,2,10,3.5,59,20.8,87,24,19,61,19.1,10,5.6,20,66,5,54,2.7,12,0.6,1,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
