,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,166,1,1,9/12/2021,LAR,,CHI,"W, 34-14",*,20,26,13,48.1,228,8.8,181,9.1,7,140,7,1,0,0,1,3.8,4,15.4,8,0,2,3,11.1,0,,5,-5,0,-5,-1,0,0,0
2,167,2,2,9/19/2021,LAR,@,IND,"W, 27-24",*,19,30,15,48.4,218,7.3,126,6.6,4.2,152,8,0,1,0,3,10.3,4,13.8,8,1,2,4,12.5,1,5,2,1,0,1,0.5,0,0,0
3,168,3,3,9/26/2021,LAR,,TAM,"W, 34-24",*,27,38,16,41,359,9.4,165,6.1,4.3,178,6.6,1,0,0,1,2.6,7,18.4,11,3,2,6,15.4,0,,2,-2,0,-2,-1,0,0,0
4,169,4,4,10/3/2021,LAR,,ARI,"L, 20-37",*,26,41,13,31.7,354,8.6,173,6.7,4.2,107,4.1,0,0,0,1,2.4,11,26.8,8,2,5,7,16.3,2,6,6,21,3,19,3.2,2,0.3,0
5,170,5,5,10/7/2021,LAR,@,SEA,"W, 26-17",*,25,37,16,42.1,469,12.7,248,9.9,6.7,117,4.7,1,1,0,1,2.8,7,19.4,10,2,2,5,13.2,0,,1,-1,0,-1,-1,0,0,0
6,171,6,6,10/17/2021,LAR,@,NYG,"W, 38-11",*,22,28,15,50,216,7.7,138,6.3,4.9,113,5.1,0,0,0,3,10.7,2,7.1,7,1,1,4,12.5,2,6,2,12,1,12,6,0,0,0
7,172,7,7,10/24/2021,LAR,,DET,"W, 28-19",*,28,41,17,40.5,383,9.3,195,7,4.8,139,5,0,0,0,1,2.4,8,19.5,11,0,0,1,2.4,0,,2,-2,0,-2,-1,0,0,0
8,173,8,8,10/31/2021,LAR,@,HOU,"W, 38-22",*,21,32,16,50,218,6.8,170,8.1,5.3,135,6.4,1,0,0,2,6.3,6,18.8,9,3,1,4,12.5,0,,0,0,0,0,,0,,0
9,174,9,9,11/7/2021,LAR,,TEN,"L, 16-28",*,31,48,16,30.2,244,5.1,116,3.7,2.4,178,5.7,2,0,0,1,2.1,10,20.8,6,2,5,12,21.8,2,6.5,2,13,1,11,5.5,2,1,0
10,175,10,10,11/15/2021,LAR,@,SFO,"L, 10-31",*,26,41,11,25.6,340,8.3,129,5,3.1,114,4.4,1,0,0,4,9.8,9,22,4,0,1,3,7,0,,1,1,0,1,1,0,0,0
11,176,11,12,11/28/2021,LAR,@,GNB,"L, 28-36",*,21,38,10,25,406,10.7,169,8,4.4,133,6.3,1,0,0,3,7.9,7,18.4,2,4,3,9,22.5,0,,1,-1,0,-1,-1,0,0,0
12,177,12,13,12/5/2021,LAR,,JAX,"W, 37-7",*,26,38,15,38.5,353,9.3,179,6.9,4.7,116,4.5,0,1,0,3,8.1,7,18.9,17,4,0,5,12.8,0,,1,2,1,1,1,1,1,0
13,178,13,14,12/13/2021,LAR,@,ARI,"W, 30-23",*,23,30,12,36.4,250,8.3,183,8,6.1,104,4.5,0,0,0,2,6.7,4,13.3,11,5,2,10,30.3,0,,0,0,0,0,,0,,0
14,179,14,15,12/21/2021,LAR,,SEA,"W, 20-10",*,21,29,11,33.3,230,7.9,138,6.6,4.8,106,5,0,0,0,1,3.4,5,17.2,4,1,2,7,21.2,0,,3,-3,0,-3,-1,0,0,0
15,180,15,16,12/26/2021,LAR,@,MIN,"W, 30-23",*,21,37,11,29.7,301,8.1,103,4.9,2.8,94,4.5,1,0,0,1,2.7,8,21.6,9,1,5,6,15.8,1,7,3,8,2,6,2,2,0.7,0
16,181,16,17,1/2/2022,LAR,@,BAL,"W, 20-19",*,26,35,14,38.9,243,6.9,177,6.8,5.1,132,5.1,0,0,0,3,8.6,3,8.6,6,0,3,4,11.1,0,,1,-1,0,-1,-1,0,0,0
17,182,17,18,1/9/2022,LAR,,SFO,"L, 24-27 (OT)",*,21,32,12,32.4,278,8.7,170,8.1,5.3,68,3.2,0,0,0,0,0,9,28.1,6,3,6,14,37.8,0,,0,0,0,0,,0,,0
,,,,,,,,5-Dec,,404,601,233,36.9,5090,8.5,2760,6.8,4.6,2126,5.3,9,3,0,31,5.2,111,18.6,137,32,42,104,16.3,8,6.1,32,43,8,36,1.1,7,0.2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
