,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,1,1,1,9/10/2023,HOU,@,BAL,"L, 9-25",*,28,44,13,26.5,260,5.9,109,3.9,2.5,133,4.8,1,0,1,2,4.7,10,23.3,14,4,5,14,26.4,4,5,4,20,1,20,5,0,0,0,
2,2,2,2,9/17/2023,HOU,,IND,"L, 20-31",*,30,47,18,34,438,9.3,261,8.7,5.6,123,4.1,0,2,2,1,2.3,10,23.3,8,10,3,19,35.2,1,2,3,1,0,1,0.3,0,0,0,
3,3,3,3,9/24/2023,HOU,@,JAX,"W, 37-17",*,20,30,11,36.7,252,8.4,132,6.6,4.4,148,7.4,0,1,0,2,6.9,6,20.7,9,1,4,5,16.1,1,11,3,14,1,14,4.7,0,0,0,
4,4,4,4,10/1/2023,HOU,,PIT,"W, 30-6",*,16,30,13,43.3,253,8.4,133,8.3,4.4,173,10.8,1,2,2,1,3.8,6,23.1,8,2,5,7,21.9,2,7.5,4,16,3,11,2.8,5,1.3,1,4
5,5,5,5,10/8/2023,HOU,@,ATL,"L, 19-21",*,20,35,13,37.1,293,8.4,166,8.3,4.7,83,4.2,2,3,0,2,6.3,5,15.6,4,6,2,8,22.9,0,,1,2,1,1,1,1,1,0,
6,6,6,6,10/15/2023,HOU,,NOR,"W, 20-13",*,13,27,9,31,235,8.7,110,8.5,4.1,89,6.8,0,2,0,0,0,9,36,7,0,1,3,10,1,2,3,2,0,1,0.3,1,0.3,0,
7,7,7,8,10/29/2023,HOU,@,CAR,"L, 13-15",*,16,24,10,38.5,179,7.5,66,4.1,2.8,74,4.6,3,0,0,0,0,4,16.7,5,1,1,4,14.8,1,12,2,13,2,12,6,1,0.5,0,
8,8,8,9,11/5/2023,HOU,,TAM,"W, 39-37",*,30,42,22,48.9,464,11,265,8.8,6.3,205,6.8,0,3,1,2,5.3,5,13.2,12,6,5,14,31.1,0,,0,10,0,10,,0,,0,
9,9,9,10,11/12/2023,HOU,@,CIN,"W, 30-27",*,23,39,16,40,466,11.9,274,11.9,7,82,3.6,0,0,0,2,5.1,7,17.9,12,7,4,12,29.3,1,8,2,8,1,8,4,0,0,0,
10,10,10,11,11/19/2023,HOU,,ARI,"W, 21-16",*,27,37,18,45,373,10.1,252,9.3,6.8,84,3.1,0,0,0,1,2.7,5,13.5,6,1,1,5,12.5,0,,1,-1,0,-1,-1,0,0,0,
11,11,11,12,11/26/2023,HOU,,JAX,"L, 21-24",*,26,36,12,30,345,9.6,160,6.2,4.4,144,5.5,1,0,0,0,0,8,22.2,10,2,2,8,17.4,6,7.8,6,47,3,42,7,5,0.8,1,6
12,12,12,13,12/3/2023,HOU,,DEN,"W, 22-17",*,16,27,7,21.9,286,10.6,150,9.4,5.6,124,7.8,0,1,0,2,7.7,7,26.9,14,4,0,9,26.5,2,3,6,11,3,4,0.7,7,1.2,0,
13,13,13,14,12/10/2023,HOU,@,NYJ,"L, 6-30",*,10,23,4,14.8,216,9.4,44,4.4,1.9,47,4.7,1,1,0,2,9.1,3,13.6,6,2,2,8,29.6,0,,0,0,0,0,,0,,0,
14,14,16,17,12/31/2023,HOU,,TEN,"W, 26-3",*,24,32,12,36.4,163,5.1,75,3.1,2.3,138,5.8,0,1,0,1,3.2,5,16.1,5,0,1,2,5.9,1,4,1,4,0,4,4,0,0,0,
15,15,17,18,1/6/2024,HOU,@,IND,"W, 23-19",*,20,26,10,35.7,261,10,149,7.5,5.7,115,5.8,0,0,0,0,0,5,19.2,6,0,2,4,12.9,3,6.7,3,20,2,20,6.7,0,0,0,
,,,,,,,,6-Sep,,319,499,188,35,4484,9,2346,7.4,4.7,1762,5.5,9,16,6,18,3.8,95,19.9,126,46,38,122,21.8,23,6.4,39,167,17,147,3.8,20,0.5,2,19.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
