,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,33,1,1,9/7/2025,HOU,@,LAR,"L, 9-14",*,19,27,7,23.3,154,5.7,115,6.1,4.3,73,3.8,1,0,0,1,3.7,3,11.1,6,1,4,8,23.5,4,7.5,5,32,3,30,6,2,0.4,0
2,34,2,2,9/15/2025,HOU,,TAM,"L, 19-20",*,13,24,7,25.9,195,8.1,83,6.4,3.5,124,9.5,0,1,0,0,0,8,34.8,12,0,2,5,16.7,3,9,4,27,1,24,6,3,0.8,0
3,35,3,3,9/21/2025,HOU,@,JAX,"L, 10-17",*,25,38,8,20,288,7.6,113,4.5,3,91,3.6,2,1,1,2,5.6,4,11.1,8,3,3,8,18.6,3,7.7,4,22,1,19,4.8,3,0.8,0
4,36,4,4,9/28/2025,HOU,,TEN,"W, 26-0",*,22,28,9,30,182,6.5,124,5.6,4.4,109,5,0,0,0,0,0,5,17.9,4,0,3,5,15.6,2,3.5,4,11,3,9,2.3,2,0.5,0
5,37,5,5,10/5/2025,HOU,@,BAL,"W, 44-10",*,23,27,13,44.8,206,7.6,167,7.3,6.2,77,3.3,0,0,0,1,3.7,3,11.1,10,0,1,3,10,1,30,1,30,1,30,30,0,0,0
6,38,6,7,10/20/2025,HOU,@,SEA,"L, 19-27",*,23,49,13,25,424,8.7,120,5.2,2.4,109,4.7,0,3,0,2,4.3,10,21.7,18,9,4,16,29.6,2,12.5,2,25,0,19,9.5,6,3,0
7,39,7,8,10/26/2025,HOU,,SFO,"W, 26-15",*,30,39,16,41,322,8.3,172,5.7,4.4,146,4.9,1,1,0,3,7.9,4,10.5,11,2,1,3,7.1,3,8.3,7,30,4,28,4,2,0.3,0
8,40,8,9,11/2/2025,HOU,,DEN,"L, 15-18",*,6,10,4,33.3,86,8.6,41,6.8,4.1,38,6.3,1,0,0,0,0,3,30,4,0,1,3,21.4,2,6,2,12,1,6,3,6,3,0
9,41,12,13,11/30/2025,HOU,@,IND,"W, 20-16",*,22,35,14,37.8,392,11.2,166,7.5,4.7,110,5,0,6,0,0,0,3,10.3,12,5,3,10,27,0,,1,0,0,0,0,0,0,0
10,42,13,14,12/7/2025,HOU,@,KAN,"W, 20-10",*,15,31,7,20.6,305,9.8,134,8.9,4.3,69,4.6,2,4,0,1,3.7,7,25.9,13,7,6,16,45.7,1,3,2,5,1,5,2.5,0,0,0
11,43,14,15,12/14/2025,HOU,,ARI,"W, 40-20",*,22,29,13,43.3,114,3.9,87,4,3,173,7.9,1,2,1,0,0,1,3.8,6,2,1,4,12.5,2,3.5,6,10,2,7,1.2,3,0.5,0
12,44,15,16,12/21/2025,HOU,,LVR,"W, 23-21",*,23,35,10,28.6,305,8.7,130,5.7,3.7,57,2.5,0,1,0,0,0,8,23.5,10,2,4,6,16.7,1,2,4,0,0,0,0,0,0,0
13,45,16,17,12/27/2025,HOU,@,LAC,"W, 20-16",*,16,28,8,28.6,249,8.9,137,8.6,4.9,107,6.7,2,2,0,0,0,7,26.9,7,9,1,10,35.7,0,,4,0,0,0,0,0,0,0
14,46,17,18,1/4/2026,HOU,,IND,"W, 38-30",*,14,23,7,30.4,139,6,87,6.2,3.8,82,5.9,0,1,1,0,0,4,19,11,3,1,4,16.7,1,3,2,5,1,5,2.5,0,0,0
,,,,,,,,5-Sep,,273,423,136,30.5,3361,7.9,1676,6.1,4,1365,5,10,22,3,10,2.5,70,17.6,132,43,35,101,21.4,25,7.8,48,209,18,182,3.8,27,0.6,0
