,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,117,1,1,9/12/2021,TEN,,ARI,"L, 13-38",*,21,35,11,26.8,270,7.7,133,6.3,3.8,79,3.8,1,0,0,0,0,7,20,12,1,5,12,28.6,1,16,2,17,2,14,7,3,1.5,0,
2,118,2,2,9/19/2021,TEN,@,SEA,"W, 33-30 (OT)",*,27,40,16,37.2,402,10.1,236,8.7,5.9,111,4.1,0,1,0,5,12.8,6,15.4,10,0,5,8,17.8,2,13,4,27,2,26,6.5,1,0.3,0,
3,119,3,3,9/26/2021,TEN,,IND,"W, 25-16",*,18,27,11,39.3,176,6.5,84,4.7,3.1,113,6.3,0,1,0,2,7.7,5,19.2,7,0,1,2,6.5,3,19.3,5,56,3,53,10.6,3,0.6,0,
4,120,4,4,10/3/2021,TEN,@,NYJ,"L, 24-27 (OT)",*,30,49,17,30.4,403,8.2,115,3.8,2.3,183,6.1,0,0,0,3,6.1,9,18.4,14,1,6,14,24.6,1,7,3,9,1,8,2.7,1,0.3,0,
5,121,5,5,10/10/2021,TEN,@,JAX,"W, 37-19",*,14,22,10,40,178,8.1,93,6.6,4.2,104,7.4,1,0,0,0,0,4,18.2,9,1,4,8,30.8,1,8,3,21,2,20,6.7,1,0.3,0,
6,122,6,6,10/18/2021,TEN,,BUF,"W, 34-31",*,18,29,9,31,254,8.8,132,7.3,4.6,84,4.7,1,3,0,0,0,5,19.2,9,6,2,8,27.6,0,,2,3,1,1,0.5,2,1,1,2
7,123,7,7,10/24/2021,TEN,,KAN,"W, 27-3",*,21,27,12,42.9,201,7.4,139,6.6,5.1,131,6.2,0,0,1,0,0,2,7.7,11,5,3,9,30,2,3,2,6,2,3,1.5,3,1.5,0,
8,124,8,8,10/31/2021,TEN,@,IND,"W, 34-31 (OT)",*,23,33,10,27.8,221,6.7,136,5.9,4.1,129,5.6,0,1,0,0,0,6,18.8,7,1,2,6,16.7,0,,2,26,2,23,11.5,3,1.5,0,
9,125,9,9,11/7/2021,TEN,@,LAR,"W, 28-16",*,19,27,9,30,109,4,40,2.1,1.5,103,5.4,0,1,0,2,7.7,2,7.7,13,0,3,6,20,0,,2,3,2,2,1,1,0.5,0,
10,126,10,10,11/14/2021,TEN,,NOR,"W, 23-21",*,19,27,10,34.5,142,5.3,88,4.6,3.3,125,6.6,1,0,0,2,7.4,3,11.1,5,0,4,6,20,1,2,5,1,2,-1,-0.2,2,0.4,0,
11,127,11,11,11/21/2021,TEN,,HOU,"L, 13-22",*,35,52,19,35.2,432,8.3,201,5.7,3.9,122,3.5,0,1,0,1,2,12,23.5,12,1,6,9,16.7,0,,2,3,1,0,0,3,1.5,0,
12,128,12,12,11/28/2021,TEN,@,NWE,"L, 13-36",*,11,21,6,26.1,128,6.1,59,5.4,2.8,34,3.1,3,0,0,0,0,2,9.5,8,0,3,5,19.2,3,7.7,5,24,3,18,3.6,6,1.2,0,
13,129,13,14,12/12/2021,TEN,,JAX,"W, 20-0",*,20,31,10,28.6,147,4.7,72,3.6,2.3,119,6,0,1,0,2,6.7,8,26.7,10,5,6,15,39.5,3,9,4,29,3,28,7,1,0.3,0,
14,130,14,15,12/19/2021,TEN,@,PIT,"L, 13-19",*,23,32,8,22.2,217,6.8,72,3.1,2.3,81,3.5,1,0,0,3,9.4,4,12.5,10,3,3,10,27,1,4,5,18,4,13,2.6,5,1,1,5
15,131,15,16,12/23/2021,TEN,,SFO,"W, 20-17",*,22,29,11,33.3,217,7.5,133,6,4.6,76,3.5,0,0,0,1,3.4,2,6.9,8,2,4,10,29.4,1,23,3,22,1,0,0,22,7.3,0,
16,132,16,17,1/2/2022,TEN,,MIA,"W, 34-3",*,13,18,7,36.8,134,7.4,44,3.4,2.4,76,5.8,0,0,0,2,11.1,1,5.6,11,1,1,3,15.8,0,,4,7,2,5,1.3,2,0.5,0,
17,133,17,18,1/9/2022,TEN,@,HOU,"W, 28-25",*,23,32,16,48.5,327,10.2,181,7.9,5.7,106,4.6,2,0,0,0,0,5,15.6,10,4,6,11,33.3,0,,2,-2,0,-2,-1,0,0,0,
,,,,,,,,5-Dec,,357,531,192,33.2,3958,7.5,1958,5.5,3.7,1776,5,10,9,1,23,4.4,83,15.9,166,31,64,142,23.8,19,10.5,55,270,33,211,3.8,59,1.1,2,27.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
