,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,146,1,1,9/10/2023,TEN,@,NOR,"L, 15-16",*,16,34,8,21.6,310,9.1,74,4.6,2.2,124,7.8,2,1,0,3,9.1,3,9.1,13,0,5,8,20,3,1.7,3,5,0,0,0,5,1.7,0
2,147,2,2,9/17/2023,TEN,,LAC,"W, 27-24 (OT)",*,20,24,9,31,211,8.8,183,9.2,7.6,63,3.2,1,0,0,2,8.3,1,4.2,12,0,0,5,17.2,0,,1,12,1,10,10,2,2,0
3,148,3,3,9/24/2023,TEN,@,CLE,"L, 3-27",*,13,25,5,16.7,254,10.2,61,4.7,2.4,43,3.3,0,1,0,2,8.3,6,25,8,2,3,10,33.3,0,,0,0,0,0,,0,,0
4,149,4,4,10/1/2023,TEN,,CIN,"W, 27-3",*,18,25,10,35.7,307,12.3,154,8.6,6.2,86,4.8,0,0,0,1,4,6,24,8,1,4,8,26.7,2,5.5,6,11,0,3,0.5,8,1.3,0
5,150,5,5,10/8/2023,TEN,@,IND,"L, 16-23",*,23,34,14,40,259,7.6,149,6.5,4.4,115,5,1,0,1,1,3,4,12.1,2,0,4,5,13.9,1,13,2,12,1,12,6,0,0,0
6,151,6,6,10/15/2023,TEN,,BAL,"L, 16-24",*,8,16,3,16.7,131,8.2,27,3.4,1.7,49,6.1,1,1,0,1,6.7,3,20,4,0,4,6,33.3,0,,0,0,0,0,,0,,0
8,153,15,16,12/24/2023,TEN,,SEA,"L, 17-20",*,18,26,9,28.1,127,4.9,65,3.6,2.5,87,4.8,0,2,1,0,0,2,8.7,8,4,3,13,38.2,2,18.5,2,37,2,37,18.5,0,0,0
9,154,16,17,12/31/2023,TEN,@,HOU,"L, 3-26",,16,20,6,24,74,3.7,63,3.9,3.2,105,6.6,0,1,0,0,0,2,10.5,1,1,3,9,36,0,,0,0,0,0,,0,,0
10,155,17,18,1/7/2024,TEN,,JAX,"W, 28-20",*,17,26,10,35.7,144,5.5,45,2.6,1.7,123,7.2,0,1,0,2,8,4,16,9,2,4,8,28.6,0,,3,-3,0,-3,-1,0,0,0
,,,,,,,,7-Mar,,149,230,74,28.2,1817,7.9,821,5.5,3.6,795,5.3,5,7,2,12,5.4,31,14,65,10,30,72,26.7,8,8.3,17,74,4,59,3.5,15,0.9,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
