,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,82,1,1,9/10/2023,NYG,,DAL,"L, 0-40",,2,2,0,0,-10,-5,-10,-5,-5,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,
2,83,3,3,9/21/2023,NYG,@,SFO,"L, 12-30",,0,1,0,0,11,11,0,,0,0,,0,0,0,0,0,1,100,1,0,1,1,50,1,2,1,2,0,2,2,0,0,0,
3,84,4,4,10/2/2023,NYG,,SEA,"L, 3-24",,0,0,0,,0,,0,,,0,,0,0,0,0,,0,,0,0,0,0,,0,,0,0,0,0,,0,,0,
4,85,5,5,10/8/2023,NYG,@,MIA,"L, 16-31",,9,12,4,30.8,74,6.2,47,5.2,3.9,39,4.3,0,1,0,1,9.1,0,0,1,3,2,6,37.5,3,4.7,3,14,1,9,3,5,1.7,1,3
5,86,6,6,10/15/2023,NYG,@,BUF,"L, 9-14",*,24,36,11,28.2,250,6.9,128,5.3,3.6,72,3,0,3,2,0,0,5,16.1,13,5,3,11,25,5,4.8,5,24,1,22,4.4,2,0.4,0,
6,87,7,7,10/22/2023,NYG,,WAS,"W, 14-7",*,18,29,10,30.3,318,11,165,9.2,5.7,114,6.3,0,1,0,0,0,5,17.9,14,4,0,8,22.2,3,3.3,8,25,2,18,2.3,7,0.9,0,
7,88,8,8,10/29/2023,NYG,,NYJ,"L, 10-13 (OT)",*,4,7,0,0,27,3.9,2,0.5,0.3,6,1.5,0,1,0,1,16.7,0,0,2,2,2,6,42.9,5,6.6,5,33,1,14,2.8,19,3.8,0,
8,89,14,15,12/17/2023,NYG,@,NOR,"L, 6-24",,2,4,1,25,10,2.5,7,3.5,1.8,6,3,0,0,1,1,33.3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,
9,90,15,16,12/25/2023,NYG,@,PHI,"L, 25-33",,7,16,5,31.3,218,13.6,92,13.1,5.8,41,5.9,0,0,2,1,7.1,6,42.9,3,1,3,4,22.2,2,10.5,2,21,1,19,9.5,2,1,0,
10,91,16,17,12/31/2023,NYG,,LAR,"L, 25-26",*,27,41,8,17,332,8.1,172,6.4,4.2,147,5.4,1,1,1,5,12.8,3,7.7,14,1,3,10,20,3,11.3,6,40,2,36,6,4,0.7,0,
11,92,17,18,1/7/2024,NYG,,PHI,"W, 27-10",*,23,32,13,39.4,316,9.9,160,7,5,137,6,0,1,0,2,6.5,4,12.9,7,3,1,5,13.2,5,4.4,8,38,2,33,4.1,5,0.6,0,
,,,,,,,,9-Feb,,116,180,52,26.4,1546,8.6,763,6.6,4.2,578,5,1,8,6,11,6.6,24,14.5,55,19,15,51,22.8,27,5.9,38,197,10,153,4,44,1.2,1,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
