,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,42,1,1,9/13/2020,CHI,@,DET,"W, 27-23",*,20,36,15,40.5,353,9.8,161,8.1,4.5,81,4.1,0,0,0,0,0,12,33.3,8,5,4,10,25.6,2,13,3,26,1,6,2,20,6.7,1,3
2,43,2,2,9/20/2020,CHI,,NYG,"W, 17-13",*,18,28,11,34.4,239,8.5,119,6.6,4.3,71,3.9,1,0,0,1,3.6,4,14.3,8,1,1,6,18.2,1,12,4,16,1,14,3.5,2,0.5,0,
3,44,3,3,9/27/2020,CHI,@,ATL,"W, 30-26",*,13,22,7,29.2,266,12.1,71,5.5,3.2,57,4.4,0,0,0,1,4.5,5,22.7,7,2,1,5,20,1,45,1,45,1,40,40,5,5,0,
5,46,11,12,11/29/2020,CHI,@,GNB,"L, 25-41",*,26,46,19,38.8,400,8.7,148,5.7,3.2,94,3.6,0,2,0,1,2.3,10,22.7,7,3,5,11,22,1,11,3,10,1,9,3,1,0.3,0,
6,47,12,13,12/6/2020,CHI,,DET,"L, 30-34",*,26,34,15,41.7,212,6.2,117,4.5,3.4,150,5.8,0,1,0,2,6.1,4,12.1,11,0,1,3,8.1,1,3,3,6,1,5,1.7,1,0.3,0,
7,48,13,14,12/13/2020,CHI,,HOU,"W, 36-7",*,24,33,17,47.2,144,4.4,77,3.2,2.3,190,7.9,0,0,0,2,6.1,4,12.1,12,2,2,7,17.9,3,6,4,23,0,14,3.5,9,2.3,1,4
8,49,14,15,12/20/2020,CHI,@,MIN,"W, 33-27",*,15,21,10,45.5,167,8,103,6.9,4.9,99,6.6,0,0,0,0,0,3,14.3,8,1,1,3,11.5,4,5.5,8,34,3,24,3,10,1.3,0,
9,50,15,16,12/27/2020,CHI,@,JAX,"W, 41-17",*,24,35,18,50,287,8.2,127,5.3,3.6,138,5.8,0,0,0,2,5.7,8,22.9,13,6,6,13,34.2,2,5,2,10,1,10,5,0,0,0,
10,51,16,17,1/3/2021,CHI,,GNB,"L, 16-35",*,33,42,12,27.9,261,6.2,129,3.9,3.1,123,3.7,0,1,0,0,0,3,7.3,6,5,2,8,17.8,2,9.5,4,22,3,21,5.3,1,0.3,0,
,,,,,,,,4-Jun,,199,297,124,39.4,2329,7.8,1052,5.3,3.5,1003,5,1,4,0,9,3.1,53,18.1,80,25,23,66,19.9,17,9.8,33,195,12,145,4.4,50,1.5,2,16.5
