,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
2,2,7,8,11/1/2020,MIA,,LAR,"W, 28-17",*,12,22,5,21.7,118,5.4,46,3.8,2.1,47,3.9,0,0,0,3,13.6,4,18.2,8,0,2,3,12.5,1,2,2,0,0,0,0,0,0,0
3,3,8,9,11/8/2020,MIA,@,ARI,"W, 34-31",*,20,28,12,38.7,229,8.2,180,9,6.4,68,3.4,1,1,1,0,0,5,19.2,17,0,0,3,8.8,3,10.3,7,35,3,12,1.7,23,3.3,0
4,4,9,10,11/15/2020,MIA,,LAC,"W, 29-21",*,15,25,10,40,266,10.6,125,8.3,5,44,2.9,0,1,0,1,4.2,5,20.8,10,0,1,1,3.8,1,1,6,-1,0,-1,-0.2,0,0,0
5,5,10,11,11/22/2020,MIA,@,DEN,"L, 13-20",*,11,20,5,19.2,180,9,51,4.6,2.6,32,2.9,0,1,0,2,10.5,5,26.3,13,4,1,11,42.3,0,,0,0,0,0,,0,,0
6,6,12,13,12/6/2020,MIA,,CIN,"W, 19-7",*,26,39,16,41,298,7.6,145,5.6,3.7,151,5.8,0,0,1,1,2.6,8,21.1,16,2,2,4,10,1,4,3,3,1,-2,-0.7,5,1.7,0
7,7,13,14,12/13/2020,MIA,,KAN,"L, 27-33",*,28,48,18,34.6,447,9.3,206,7.4,4.3,110,3.9,0,2,1,2,4.4,8,17.8,17,2,3,9,15.8,5,4.6,6,24,2,23,3.8,1,0.2,0
8,8,14,15,12/20/2020,MIA,,NWE,"W, 22-12",*,20,26,10,35.7,98,3.8,68,3.4,2.6,77,3.9,1,0,0,1,3.8,3,11.5,6,2,1,5,17.2,1,3,3,9,3,9,3,0,0,0
9,9,15,16,12/26/2020,MIA,@,LVR,"W, 26-25",*,17,22,4,16,88,4,38,2.2,1.7,56,3.3,0,0,0,0,0,3,13.6,13,2,1,6,22.2,2,6,3,11,1,11,3.7,0,0,0
10,10,16,17,1/3/2021,MIA,@,BUF,"L, 26-56",*,35,58,19,32.2,442,7.6,180,5.1,3.1,181,5.2,0,0,0,2,3.4,12,20.7,13,2,3,6,9.8,2,8.5,6,28,3,28,4.7,0,0,0
,,,,,,,,3-Jul,,186,290,100,32.3,2175,7.5,1048,5.6,3.6,766,4.1,2,5,3,12,4.3,53,18.8,115,14,14,48,14.7,16,5.8,36,109,13,80,2.2,29,0.8,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
