,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,37,1,1,9/10/2023,MIA,@,LAC,"W, 36-34",*,28,45,23,51.1,500,11.1,304,10.9,6.8,162,5.8,2,1,0,2,4.5,4,9.1,16,3,2,5,11.1,0,,5,5,1,5,1,0,0,0,
2,38,2,2,9/17/2023,MIA,@,NWE,"W, 24-17",*,21,30,15,48.4,269,9,120,5.7,4,129,6.1,0,1,0,3,10.3,0,0,15,0,1,2,6.3,1,4,4,3,0,3,0.8,0,0,0,
3,39,3,3,9/24/2023,MIA,,DEN,"W, 70-20",*,23,26,15,57.7,150,5.8,122,5.3,4.7,187,8.1,0,0,0,0,0,3,11.5,3,0,1,1,3.8,0,,0,0,0,0,,0,,0,
4,40,4,4,10/1/2023,MIA,@,BUF,"L, 20-48",*,25,35,12,30.8,188,5.4,148,5.9,4.2,134,5.4,2,1,0,0,0,5,14.7,7,3,5,12,29.3,2,3.5,2,7,1,4,2,3,1.5,1,2
5,41,5,5,10/8/2023,MIA,,NYG,"W, 31-16",*,22,30,14,45.2,125,4.2,73,3.3,2.4,235,10.7,0,1,1,0,0,2,7.1,3,3,1,5,15.6,1,7,2,6,0,6,3,0,0,0,
6,42,6,6,10/15/2023,MIA,,CAR,"W, 42-21",*,21,31,14,45.2,274,8.8,138,6.6,4.5,124,5.9,3,2,0,1,3.4,2,6.9,14,0,1,1,3.2,0,,1,0,0,0,0,0,0,0,
7,43,7,7,10/22/2023,MIA,@,PHI,"L, 17-31",*,23,32,9,25.7,259,8.1,164,7.1,5.1,52,2.3,0,0,0,2,6.3,5,15.6,7,2,0,5,14.3,0,,1,-3,0,-3,-3,0,0,0,
8,44,8,8,10/29/2023,MIA,,NWE,"W, 31-17",*,30,45,17,36.2,305,6.8,179,6,4,145,4.8,0,1,0,3,6.8,6,13.6,14,5,0,7,14.3,2,5.5,6,8,1,8,1.3,0,0,0,
9,45,9,9,11/5/2023,MIA,@,KAN,"L, 14-21",*,21,34,11,29.7,281,8.3,120,5.7,3.5,73,3.5,0,0,0,3,8.8,10,29.4,14,4,3,10,26.3,1,7,2,7,0,7,3.5,0,0,0,
10,46,10,11,11/19/2023,MIA,,LVR,"W, 20-13",*,28,39,12,30,295,7.6,179,6.4,4.6,146,5.2,1,3,0,1,2.8,4,11.1,4,2,2,5,12.2,1,7,2,6,0,6,3,0,0,0,
11,47,11,12,11/24/2023,MIA,@,NYJ,"W, 34-13",*,21,30,14,43.8,147,4.9,119,5.7,4,124,5.9,0,1,1,3,10.7,2,7.1,1,1,0,3,9.1,1,1,2,1,0,1,0.5,0,0,0,
12,48,12,13,12/3/2023,MIA,@,WAS,"W, 45-15",*,18,24,10,41.7,217,9,107,5.9,4.5,173,9.6,0,0,0,1,4.2,3,12.5,4,0,1,1,4.2,0,,0,0,0,0,,0,,0,
13,49,13,14,12/11/2023,MIA,,TEN,"L, 27-28",*,23,33,9,23.7,252,7.6,156,6.8,4.7,84,3.7,0,0,0,0,0,7,21.2,3,6,2,13,31.7,3,5,3,15,1,15,5,0,0,0,
14,50,14,15,12/17/2023,MIA,,NYJ,"W, 30-0",*,21,24,9,33.3,96,4,72,3.4,3,152,7.2,0,0,0,0,0,1,4.2,3,1,1,5,18.5,0,,0,0,0,0,,0,,0,
15,51,15,16,12/24/2023,MIA,,DAL,"W, 22-20",*,24,37,16,42.1,362,9.8,197,8.2,5.3,96,4,0,1,0,1,2.8,11,30.6,6,1,3,5,13.2,0,,2,-2,0,-2,-1,0,0,0,
16,52,16,17,12/31/2023,MIA,@,BAL,"L, 19-56",*,22,38,13,31.7,263,6.9,122,5.5,3.2,115,5.2,1,2,0,3,8.3,8,22.2,1,2,2,7,16.3,2,7,2,14,0,14,7,0,0,0,
17,53,17,18,1/7/2024,MIA,,BUF,"L, 14-21",*,17,27,9,33.3,307,11.4,127,7.5,4.7,46,2.7,0,0,0,1,3.7,5,18.5,1,6,2,8,28.6,1,7,1,7,1,7,7,0,0,0,
,,,,,,,,6-Nov,,388,560,222,37.7,4290,7.7,2447,6.3,4.4,2177,5.6,9,14,2,24,4.4,78,14.3,116,39,27,95,15.7,15,5.3,35,74,5,71,2,3,0.1,1,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
