,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,1,1,1,9/7/2025,TEN,@,DEN,"L, 12-20",*,12,28,5,14.7,294,10.5,48,4,1.7,64,5.3,0,3,0,5,20,4,16,9,8,6,20,58.8,0,,0,0,0,0,,0,,0,
2,2,2,2,9/14/2025,TEN,,LAR,"L, 19-33",*,19,33,10,26.3,215,6.5,95,5,2.9,80,4.2,0,2,0,2,6.5,6,19.4,3,1,4,10,24.4,3,2.3,4,8,2,5,1.3,3,0.8,0,
3,3,3,3,9/21/2025,TEN,,IND,"L, 20-41",*,23,38,11,26.2,192,5.1,105,4.6,2.8,114,5,1,4,0,1,2.9,7,20.6,10,3,3,10,22.2,3,4,3,12,1,12,4,0,0,0,
4,4,4,4,9/28/2025,TEN,@,HOU,"L, 0-26",*,10,26,5,17.9,188,7.2,67,6.7,2.6,41,4.1,2,1,1,0,0,8,33.3,4,2,5,9,30,2,11,2,22,1,6,3,16,8,0,
5,5,5,5,10/5/2025,TEN,@,ARI,"W, 22-21",*,21,39,12,29.3,421,10.8,184,8.8,4.7,81,3.9,1,2,0,2,5.4,9,24.3,5,1,2,5,11.9,1,2,5,-6,0,-14,-2.8,8,1.6,1,5
6,6,6,6,10/12/2025,TEN,@,LVR,"L, 10-20",*,26,38,11,25,263,6.9,105,4,2.8,117,4.5,1,3,1,0,0,7,20.6,7,3,3,12,27.3,0,,0,0,0,0,,0,,0,
7,7,7,7,10/19/2025,TEN,,NWE,"L, 13-31",*,25,34,14,35.9,226,6.6,123,4.9,3.6,132,5.3,0,1,0,1,3,5,15.2,3,1,0,6,15.4,0,,0,0,0,0,,0,,0,
8,8,8,8,10/26/2025,TEN,@,IND,"L, 14-38",*,22,38,13,31,328,8.6,158,7.2,4.2,101,4.6,1,0,1,2,5.4,9,24.3,11,7,2,13,30.2,1,7,2,4,0,-1,-0.5,5,2.5,0,
9,9,9,9,11/2/2025,TEN,,LAC,"L, 20-27",*,12,21,7,28,183,8.7,60,5,2.9,85,7.1,0,0,0,1,4.8,6,28.6,6,0,1,5,19.2,1,6,2,6,0,5,2.5,1,0.5,0,
10,10,10,11,11/16/2025,TEN,,HOU,"L, 13-16",*,24,37,10,25,235,6.4,105,4.4,2.8,89,3.7,3,1,0,1,2.8,6,16.7,12,0,2,5,11.6,3,11,3,33,2,30,10,3,1,0,
11,11,11,12,11/23/2025,TEN,,SEA,"L, 24-30",*,28,42,12,26.1,195,4.6,98,3.5,2.3,158,5.6,1,4,0,1,2.6,3,7.9,12,14,7,25,50,4,7.5,6,37,4,31,5.2,6,1,0,
12,12,12,13,11/30/2025,TEN,,JAX,"L, 3-25",*,24,38,4,9.8,248,6.5,92,3.8,2.4,49,2,0,3,0,3,8.6,5,14.3,10,2,2,7,16.7,1,7,1,7,1,2,2,5,5,1,1
13,13,13,14,12/7/2025,TEN,@,CLE,"W, 31-29",*,14,28,6,20.7,174,6.2,32,2.3,1.1,85,6.1,1,5,0,0,0,4,17.4,16,7,4,12,41.4,0,,2,4,1,3,1.5,1,0.5,0,
14,14,14,15,12/14/2025,TEN,@,SFO,"L, 24-37",*,18,29,8,27.6,170,5.9,70,3.9,2.4,100,5.6,2,2,0,1,3.7,6,22.2,7,6,3,9,31,0,,1,2,1,2,2,0,0,0,
15,15,15,16,12/21/2025,TEN,,KAN,"W, 26-9",*,21,28,11,36.7,154,5.5,93,4.4,3.3,135,6.4,0,1,0,2,7.4,4,14.8,13,1,3,6,19.4,1,11,4,9,1,-2,-0.5,11,2.8,1,4
16,16,16,17,12/28/2025,TEN,,NOR,"L, 26-34",*,21,40,12,27.3,392,9.8,169,8,4.2,82,3.9,1,5,0,1,2.9,6,17.1,9,10,3,17,37,2,5,2,10,0,10,5,0,0,0,
17,17,17,18,1/4/2026,TEN,@,JAX,"L, 7-41",*,3,3,2,66.7,18,6,18,6,6,34,11.3,0,0,0,0,0,0,0,1,1,0,1,25,1,4,2,11,1,8,4,3,1.5,0,
,,,,,,,,14-Mar,,323,540,153,25.7,3896,7.2,1622,5,3,1547,4.8,14,37,3,23,4.6,95,19,138,67,50,172,27.8,23,6.6,39,159,15,97,2.5,62,1.6,3,13
