,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,24,1,1,9/9/2019,HOU,@,NOR,"L, 28-30",*,20,30,12,33.3,325,10.8,178,8.9,5.9,90,4.5,0,1,0,2,6.9,5,17.2,14,5,4,15,39.5,2,9.5,4,40,2,40,10,0,0,0,
2,25,2,2,9/15/2019,HOU,,JAX,"W, 13-12",*,16,29,9,27.3,371,12.8,124,7.8,4.3,35,2.2,0,1,0,1,3.6,7,25,16,4,4,12,35.3,1,4,4,5,1,4,1,1,0.3,0,
3,26,3,3,9/22/2019,HOU,@,LAC,"W, 27-20",*,25,34,15,41.7,265,7.8,186,7.4,5.5,165,6.6,0,1,0,2,6.1,3,9.1,7,5,4,11,27.5,4,5.8,7,18,1,14,2,4,0.6,2,3.5
4,27,4,4,9/29/2019,HOU,,CAR,"L, 10-16",*,21,33,7,17.9,305,9.2,65,3.1,2,95,4.5,0,1,1,0,0,7,22.6,10,3,2,11,26.8,2,5.5,3,12,2,12,4,0,0,0,
5,28,5,5,10/6/2019,HOU,,ATL,"W, 53-32",*,28,33,18,54.5,286,8.7,222,7.9,6.7,204,7.3,0,1,0,2,6.3,1,3.1,9,1,1,2,5.7,2,19.5,4,47,3,45,11.3,2,0.5,0,
6,29,6,6,10/13/2019,HOU,@,KAN,"W, 31-24",*,30,42,20,47.6,369,8.8,104,3.5,2.5,176,5.9,0,0,0,4,9.5,7,16.7,14,2,2,4,8.7,4,6,10,42,3,35,3.5,7,0.7,0,
7,30,7,7,10/20/2019,HOU,@,IND,"L, 23-30",*,23,34,15,40.5,268,7.9,183,8,5.4,125,5.4,0,1,0,2,6.1,6,18.2,7,2,3,8,20,3,10.7,3,32,1,5,1.7,27,9,1,3
8,31,8,8,10/27/2019,HOU,,OAK,"W, 27-24",*,27,39,17,40.5,266,6.8,173,6.4,4.4,106,3.9,1,1,0,3,7.9,3,7.9,6,3,1,7,15.2,4,6.3,10,46,4,39,3.9,7,0.7,0,
9,32,9,9,11/3/2019,HOU,@,JAX,"W, 26-3",*,22,28,11,37.9,181,6.5,110,5,3.9,91,4.1,0,0,0,1,3.6,3,10.7,8,2,6,9,28.1,3,6.3,7,37,2,33,4.7,4,0.6,0,
10,33,10,11,11/17/2019,HOU,@,BAL,"L, 7-41",*,18,29,10,28.6,222,7.7,72,4,2.5,97,5.4,0,1,0,0,0,9,32.1,18,3,3,12,32.4,2,5,3,12,0,7,2.3,5,1.7,0,
11,34,11,12,11/21/2019,HOU,,IND,"W, 20-17",*,19,30,11,35.5,423,14.1,235,12.4,7.8,63,3.3,0,2,0,0,0,7,25,8,4,3,8,25.8,0,,3,10,0,8,2.7,2,0.7,0,
12,35,12,13,12/1/2019,HOU,,NWE,"W, 28-22",*,18,25,11,39.3,195,7.8,123,6.8,4.9,111,6.2,0,2,0,0,0,3,13,17,3,0,6,20.7,1,2,4,-1,0,-1,-0.3,0,0,0,
13,36,13,14,12/8/2019,HOU,,DEN,"L, 24-38",*,28,50,16,30.2,434,8.7,132,4.7,2.6,160,5.7,2,2,1,3,6.4,9,19.1,13,7,3,13,22,6,7.3,6,44,4,40,6.7,4,0.7,0,
14,37,14,15,12/15/2019,HOU,@,TEN,"W, 24-21",*,19,27,12,42.9,271,10,148,7.8,5.5,95,5,1,1,0,0,0,4,15.4,1,0,0,1,3.1,4,5.8,7,32,3,29,4.1,3,0.4,0,
15,38,15,16,12/21/2019,HOU,@,TAM,"W, 23-20",*,19,32,7,18.9,215,6.7,111,5.8,3.5,73,3.8,2,0,0,1,3.1,6,18.8,19,4,3,12,28.6,5,7.2,7,37,3,33,4.7,4,0.6,0,
,,,,,,,,5-Oct,,333,495,191,35.4,4396,8.9,2166,6.5,4.4,1686,5.1,6,15,2,21,4.4,80,16.7,167,48,39,131,22.5,43,7.2,82,413,29,343,4.2,70,0.9,3,27.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
