,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,41,1,1,9/8/2019,PHI,,WAS,"W, 32-27",*,28,39,13,32.5,343,8.8,219,7.8,5.6,94,3.4,1,1,0,2,5.3,6,15.8,12,2,3,6,15,0,,4,5,3,2,0.5,3,0.8,0,
2,42,2,2,9/15/2019,PHI,@,ATL,"L, 20-24",*,25,43,9,19.6,410,9.5,166,6.6,3.9,65,2.6,1,1,0,3,7.1,9,21.4,5,8,4,15,32.6,0,,3,3,2,3,1,0,0,0,
3,43,3,3,9/22/2019,PHI,,DET,"L, 24-27",*,19,36,11,28.2,405,11.3,182,9.6,5.1,77,4.1,2,0,0,4,11.1,5,13.9,5,5,3,11,26.2,3,9.3,4,33,1,19,4.8,14,3.5,2,2
4,44,4,4,9/26/2019,PHI,@,GNB,"W, 34-27",*,16,27,12,44.4,184,6.8,78,4.9,2.9,82,5.1,0,0,0,0,0,9,33.3,16,3,2,5,17.2,2,5.5,6,13,2,10,1.7,3,0.5,0,
5,45,5,5,10/6/2019,PHI,,NYJ,"W, 31-6",*,17,29,9,30,202,7,114,6.7,3.9,75,4.4,0,2,0,2,7.4,6,22.2,17,1,3,5,16.1,1,5,2,5,0,-2,-1,7,3.5,0,
6,46,6,6,10/13/2019,PHI,@,MIN,"L, 20-38",*,26,40,15,35.7,369,9.2,159,6.1,4,147,5.7,1,0,0,1,2.5,8,20,12,4,1,7,16.3,1,7,2,23,1,23,11.5,0,0,0,
7,47,7,7,10/20/2019,PHI,@,DAL,"L, 10-37",*,16,26,9,31,323,12.4,124,7.8,4.8,67,4.2,0,1,0,1,4,3,12,7,5,1,9,29,2,5.5,4,12,1,9,2.3,3,0.8,0,
8,48,8,8,10/27/2019,PHI,@,BUF,"W, 31-13",*,17,24,10,37,121,5,65,3.8,2.7,107,6.3,1,0,0,0,0,3,12.5,9,2,2,7,23.3,3,8.7,8,35,3,27,3.4,8,1,0,
9,49,9,9,11/3/2019,PHI,,CHI,"W, 22-14",*,26,39,16,37.2,303,7.8,116,4.5,3,123,4.7,3,0,0,5,12.8,3,7.7,12,2,1,7,15.6,2,7,4,15,1,12,3,3,0.8,0,
10,50,10,11,11/17/2019,PHI,,NWE,"L, 10-17",*,20,40,11,24.4,405,10.1,140,7,3.5,74,3.7,1,0,1,2,5.1,9,23.1,16,3,7,15,31.3,3,5.7,3,17,1,12,4,5,1.7,0,
11,51,11,12,11/24/2019,PHI,,SEA,"L, 9-17",*,33,45,16,33.3,280,6.2,159,4.8,3.5,97,2.9,1,0,0,0,0,8,17.8,15,6,5,14,27.5,3,8,5,27,1,20,4,7,1.4,0,
12,52,12,13,12/1/2019,PHI,@,MIA,"L, 31-37",*,28,46,19,39.6,506,11,207,7.4,4.5,103,3.7,0,1,0,1,2.2,12,26.7,7,0,4,6,12.5,0,,0,0,0,0,,0,,0,
13,53,13,14,12/9/2019,PHI,,NYG,"W, 23-17 (OT)",*,33,50,16,30.2,314,6.3,154,4.7,3.1,171,5.2,2,1,0,3,6.1,7,14.3,18,6,7,16,29.6,1,4,5,9,2,6,1.2,3,0.6,0,
14,54,14,15,12/15/2019,PHI,@,WAS,"W, 37-27",*,30,43,15,33.3,209,4.9,76,2.5,1.8,190,6.3,0,3,0,1,2.5,5,12.5,10,16,4,22,46.8,2,3.5,3,9,1,5,1.7,4,1.3,0,
15,55,15,16,12/22/2019,PHI,,DAL,"W, 17-9",*,31,40,18,43.9,203,5.1,122,3.9,3.1,197,6.4,2,0,0,1,2.5,4,10,8,1,3,5,11.4,3,3,6,22,0,13,2.2,9,1.5,2,3
16,56,16,17,12/29/2019,PHI,@,NYG,"W, 34-17",*,23,40,14,34.1,301,7.5,154,6.7,3.9,135,5.9,1,0,0,2,5,9,22.5,15,3,3,7,16.3,2,6.5,3,15,2,8,2.7,7,2.3,0,
,,,,,,,,7-Sep,,388,607,213,33.1,4878,8,2235,5.8,3.7,1804,4.6,16,10,1,28,4.7,106,17.8,184,67,53,157,23.4,28,6.3,62,243,21,167,2.7,76,1.2,4,15.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
