,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,18,1,1,9/8/2025,CHI,,MIN,"L, 24-27",*,21,35,10,27,262,7.5,133,6.3,3.8,77,3.7,3,1,0,1,2.9,9,26.5,11,7,2,11,25.6,6,9.7,6,58,4,56,9.3,2,0.3,0,
2,19,2,2,9/14/2025,CHI,@,DET,"L, 21-52",*,19,30,10,29.4,302,10.1,134,7.1,4.5,73,3.8,2,0,0,2,6.7,6,20,7,2,0,6,16.7,2,9.5,5,27,2,27,5.4,0,0,0,
3,20,3,3,9/21/2025,CHI,,DAL,"W, 31-14",*,19,28,11,39.3,246,8.8,142,7.5,5.1,156,8.2,1,0,0,0,0,7,25,7,5,1,6,21.4,0,,5,12,0,11,2.2,1,0.2,0,
4,21,4,4,9/28/2025,CHI,@,LVR,"W, 25-24",*,22,37,10,26.3,250,6.8,113,5.1,3.1,99,4.5,4,1,0,2,5.6,6,16.7,10,6,1,8,19.5,3,6.7,8,13,1,9,1.1,4,0.5,1,8
5,22,5,6,10/13/2025,CHI,@,WAS,"W, 25-24",*,17,29,10,31.3,246,8.5,58,3.4,2,194,11.4,0,0,0,2,6.9,5,17.2,12,5,1,9,27.3,1,4,4,3,2,2,0.5,1,0.3,0,
6,23,6,7,10/19/2025,CHI,,NOR,"W, 26-14",*,15,26,10,37,220,8.5,83,5.5,3.2,89,5.9,2,2,0,0,0,4,16.7,7,5,3,9,33.3,0,,4,-2,0,-2,-0.5,0,0,0,
7,24,7,8,10/26/2025,CHI,@,BAL,"L, 16-30",*,25,38,13,33.3,303,8,160,6.4,4.2,125,5,0,3,0,0,0,9,25.7,16,5,2,8,19.5,2,12,3,24,1,24,8,0,0,0,
8,25,8,9,11/2/2025,CHI,@,CIN,"W, 47-42",*,20,34,15,41.7,245,7.2,115,5.8,3.4,165,8.3,2,3,0,1,3.2,5,16.1,5,7,4,13,31.7,5,10.6,5,53,2,43,8.6,10,2,0,
9,26,9,10,11/9/2025,CHI,,NYG,"W, 24-20",*,20,36,11,30.6,315,8.8,144,7.2,4,76,3.8,0,0,0,6,16.7,9,25,5,3,3,6,14.6,5,12.8,8,63,3,50,6.3,13,1.6,2,4
10,27,10,11,11/16/2025,CHI,@,MIN,"W, 19-17",*,16,32,6,17.6,372,11.6,85,5.3,2.7,108,6.8,0,4,0,3,10.7,7,25,21,2,3,7,19.4,2,11.5,4,26,2,3,0.8,23,5.8,2,2
11,28,11,12,11/23/2025,CHI,,PIT,"W, 31-28",*,19,35,11,30.6,329,9.4,141,7.4,4,98,5.2,0,4,1,1,3.3,8,26.7,9,2,0,3,7.9,2,7,4,21,1,21,5.3,0,0,0,
12,29,12,13,11/28/2025,CHI,@,PHI,"W, 24-15",*,17,36,10,26.3,252,7,79,4.6,2.2,75,4.4,1,4,0,0,0,9,28.1,10,5,4,11,28.2,1,5,5,13,4,12,2.4,1,0.2,0,
13,30,13,14,12/7/2025,CHI,@,GNB,"L, 21-28",*,19,35,12,33.3,298,8.5,113,5.9,3.2,73,3.8,0,6,0,0,0,8,27.6,12,9,5,15,38.5,3,4.3,4,15,2,15,3.8,0,0,0,
14,31,14,15,12/14/2025,CHI,,CLE,"W, 31-3",*,17,28,12,38.7,275,9.8,132,7.8,4.7,110,6.5,1,1,0,4,14.8,4,14.8,10,6,2,11,34.4,1,14,3,13,1,13,4.3,0,0,0,
15,32,15,16,12/20/2025,CHI,,GNB,"W, 22-16 (OT)",*,19,34,10,29.4,331,9.7,161,8.5,4.7,89,4.7,0,5,0,1,3.4,6,20.7,10,11,4,15,40.5,3,10,3,30,1,30,10,0,0,0,
16,33,16,17,12/28/2025,CHI,@,SFO,"L, 38-42",*,25,42,16,38.1,303,7.2,200,8,4.8,130,5.2,2,2,1,3,7.7,6,15.4,12,7,3,10,21.7,4,3.8,5,18,2,13,2.6,5,1,0,
17,34,17,18,1/4/2026,CHI,,DET,"L, 16-19",*,20,33,10,29.4,260,7.9,114,5.7,3.5,98,4.9,0,4,0,3,10.3,1,3.4,10,7,3,11,31.4,1,1,1,1,0,1,1,0,0,0,
,,,,,,,,6-Nov,,330,568,187,31.6,4809,8.5,2107,6.4,3.7,1835,5.6,18,40,2,29,5.5,109,20.7,174,94,41,159,25.1,41,8.7,77,388,28,328,4.3,60,0.8,5,15.4
