,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,189,7,7,10/20/2024,PIT,,NYJ,"W, 37-15",*,16,29,12,40,238,8.2,149,9.3,5.1,115,7.2,1,2,0,2,7.4,6,22.2,11,5,4,10,32.3,1,1,3,3,2,0,0,3,1,0
2,190,8,8,10/28/2024,PIT,,NYG,"W, 26-18",*,20,28,12,37.5,257,9.2,177,8.9,6.3,101,5.1,0,0,1,1,3.7,4,14.8,11,0,4,8,24.2,1,3,3,7,0,7,2.3,0,0,0
3,191,9,10,11/10/2024,PIT,@,WAS,"W, 28-27",*,14,28,9,29,347,12.4,114,8.1,4.1,81,5.8,0,3,0,2,8,8,32,15,0,3,6,18.8,1,6,4,3,1,1,0.3,2,0.5,0
4,192,10,11,11/17/2024,PIT,,BAL,"W, 18-16",*,23,36,9,22.5,219,6.1,78,3.4,2.2,127,5.5,1,4,0,1,3.1,3,9.4,8,3,3,10,24.4,1,3,4,1,0,0,0,1,0.3,0
5,193,11,12,11/21/2024,PIT,@,CLE,"L, 19-24",*,21,28,10,31.3,309,11,184,8.8,6.6,86,4.1,0,2,0,0,0,5,19.2,3,0,7,11,33.3,1,10,3,10,0,10,3.3,0,0,0
6,194,12,13,12/1/2024,PIT,@,CIN,"W, 44-38",*,29,38,18,45,163,4.3,150,5.2,3.9,264,9.1,0,2,0,1,2.8,5,13.9,10,8,7,17,41.5,1,5,3,3,0,3,1,0,0,0
7,195,13,14,12/8/2024,PIT,,CLE,"W, 27-14",*,15,26,6,22.2,206,7.9,84,5.6,3.2,74,4.9,0,1,0,0,0,9,36,9,2,6,9,31,2,6,6,17,3,16,2.7,1,0.2,0
8,196,14,15,12/15/2024,PIT,@,PHI,"L, 13-27",*,14,22,5,20.8,156,7.1,74,5.3,3.4,54,3.9,3,1,0,2,9.5,2,9.5,0,1,2,5,19.2,2,5.5,4,13,2,13,3.3,0,0,0
9,197,15,16,12/21/2024,PIT,@,BAL,"L, 17-34",*,22,33,14,38.9,257,7.8,157,7.1,4.8,60,2.7,0,6,1,1,3.8,2,7.7,6,3,2,8,20.5,3,9,3,27,0,27,9,0,0,0
10,198,16,17,12/25/2024,PIT,,KAN,"L, 10-29",*,23,37,9,21.4,260,7,103,4.5,2.8,102,4.4,1,2,0,1,2.9,4,11.4,12,3,4,12,25,6,9.2,6,55,6,49,8.2,6,1,0
11,199,17,18,1/4/2025,PIT,,CIN,"L, 17-19",*,17,31,8,22.9,227,7.3,90,5.3,2.9,58,3.4,0,2,0,3,10.3,4,13.8,5,2,3,9,24.3,2,7.5,4,16,2,16,4,0,0,0
,,,,,,,,5-Jun,,214,336,112,30.4,2639,7.9,1360,6.4,4,1122,5.2,6,25,2,14,4.5,52,16.8,90,27,45,105,26.9,21,7,43,155,16,142,3.3,13,0.3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
