,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,46,4,4,9/30/2018,TAM,@,CHI,"L, 10-48",,16,20,9,40.9,170,8.5,116,7.3,5.8,29,1.8,0,0,0,0,0,2,10,4,1,0,3,13,1,7,1,7,1,7,7,0,0,0,
2,47,5,6,10/14/2018,TAM,@,ATL,"L, 29-34",*,30,41,23,53.5,457,11.1,264,8.8,6.4,131,4.4,0,1,1,1,2.6,6,15.4,6,2,2,6,13,3,4.7,5,29,2,26,5.2,3,0.6,0,
3,48,6,7,10/21/2018,TAM,,CLE,"W, 26-23 (OT)",*,32,52,20,35.7,546,10.5,276,8.6,5.3,89,2.8,0,0,0,3,5.8,11,21.2,13,3,5,12,19,7,8.1,10,55,4,13,1.3,42,4.2,0,
4,49,7,8,10/28/2018,TAM,@,CIN,"L, 34-37",*,18,35,13,32.5,451,12.9,197,10.9,5.6,79,4.4,0,0,0,1,2.9,9,25.7,6,5,1,11,25.6,3,6,3,18,2,18,6,0,0,0,
5,50,10,11,11/18/2018,TAM,@,NYG,"L, 35-38",,12,16,10,62.5,217,13.6,143,11.9,8.9,56,4.7,0,0,0,0,0,1,6.3,1,1,1,2,10,4,3.3,5,16,2,13,2.6,3,0.6,0,
6,51,11,12,11/25/2018,TAM,,SFO,"W, 27-9",*,29,38,15,38.5,372,9.8,210,7.2,5.5,102,3.5,0,0,0,1,2.6,5,13.2,8,8,4,13,30.2,4,5.5,7,24,1,8,1.1,16,2.3,0,
7,52,12,13,12/2/2018,TAM,,CAR,"W, 24-17",*,20,30,11,32.4,234,7.8,151,7.6,5,98,4.9,0,0,0,3,10,2,6.7,15,6,1,11,28.2,5,9.6,5,48,2,30,6,18,3.6,0,
8,53,13,14,12/9/2018,TAM,,NOR,"L, 14-28",*,18,38,12,28.6,473,12.4,166,9.2,4.4,47,2.6,0,1,0,3,8.1,9,24.3,10,7,6,17,36.2,5,9.4,5,47,3,10,2,37,7.4,1,5
9,54,14,15,12/16/2018,TAM,@,BAL,"L, 12-20",*,13,25,4,15.4,268,10.7,110,8.5,4.4,47,3.6,0,0,0,3,12,4,16,5,3,2,6,23.1,0,,2,0,1,0,0,0,0,0,
10,55,15,16,12/23/2018,TAM,@,DAL,"L, 20-27",*,34,48,19,37.3,475,9.9,193,5.7,4,143,4.2,0,1,0,1,2.1,6,12.8,9,5,4,12,22.2,3,4.7,4,14,0,4,1,10,2.5,0,
11,56,16,17,12/30/2018,TAM,,ATL,"L, 32-34",*,22,35,16,44.4,416,11.9,256,11.6,7.3,89,4,0,2,0,2,6.1,5,15.2,7,2,3,6,16.2,1,15,2,23,1,18,9,5,2.5,0,
,,,,,,,,8-Mar,,244,378,152,37.5,4079,10.8,2082,8.5,5.5,910,3.7,0,5,1,18,4.8,60,16.1,84,43,29,99,22.4,36,7.1,49,281,19,147,3,134,2.7,1,49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
