,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,1,1,1,9/10/2023,CAR,@,ATL,"L, 10-24",*,20,38,9,22.5,281,7.4,54,2.7,1.4,92,4.6,0,7,0,0,0,8,25.8,7,8,4,14,33.3,2,10,3,17,1,16,5.3,1,0.3,0,
2,2,2,2,9/18/2023,CAR,,NOR,"L, 17-20",*,22,33,8,21.6,258,7.8,74,3.4,2.2,79,3.6,0,2,0,1,3.2,6,19.4,4,4,3,11,28.2,2,17,2,34,1,33,16.5,1,0.5,0,
3,3,4,4,10/1/2023,CAR,,MIN,"L, 13-21",*,25,32,11,29.7,118,3.7,63,2.5,2,141,5.6,1,1,0,1,3.2,2,6.5,14,0,1,6,15.4,2,5,2,10,1,8,4,2,1,0,
4,4,5,5,10/8/2023,CAR,@,DET,"L, 24-42",*,25,41,15,35.7,255,6.2,166,6.6,4,81,3.2,0,6,0,0,0,9,25.7,9,4,4,9,20.9,1,4,1,4,0,4,4,0,0,0,
5,5,6,6,10/15/2023,CAR,@,MIA,"L, 21-42",*,23,38,13,31,319,8.4,134,5.8,3.5,83,3.6,0,3,0,1,2.9,10,28.6,6,0,5,9,21.4,0,,0,0,0,0,,0,,0,
6,6,7,8,10/29/2023,CAR,,HOU,"W, 15-13",*,22,31,11,29.7,191,6.2,114,5.2,3.7,121,5.5,1,0,0,5,16.1,2,6.5,13,3,2,11,27.5,3,4.3,4,11,1,6,1.5,5,1.3,1,4
7,7,8,9,11/5/2023,CAR,,IND,"L, 13-27",*,24,39,7,16.3,180,4.6,87,3.6,2.2,86,3.6,2,1,0,1,2.6,7,18.4,4,1,2,7,14.6,5,8.2,5,41,3,25,5,16,3.2,0,
8,8,9,10,11/9/2023,CAR,@,CHI,"L, 13-16",*,21,38,6,14.6,257,6.8,107,5.1,2.8,78,3.7,0,4,0,2,5.9,8,23.5,10,2,6,11,25,3,6,3,18,3,9,3,9,3,0,
9,9,10,11,11/19/2023,CAR,,DAL,"L, 10-33",*,16,29,7,19.4,185,6.4,62,3.9,2.1,61,3.8,0,1,0,1,3.6,10,35.7,14,0,3,10,27,1,4,2,3,0,3,1.5,0,0,0,
10,10,11,12,11/26/2023,CAR,@,TEN,"L, 10-17",*,18,31,7,20,199,6.4,110,6.1,3.5,84,4.7,0,7,0,1,4.2,4,16.7,4,5,2,11,28.9,3,7.7,3,23,2,12,4,11,3.7,2,1.5
11,11,12,13,12/3/2023,CAR,@,TAM,"L, 18-21",*,15,31,7,20,313,10.1,132,8.8,4.3,46,3.1,0,5,0,1,3.8,7,26.9,21,1,2,7,20,0,,0,0,0,0,,0,,0,
12,12,13,14,12/10/2023,CAR,@,NOR,"L, 6-28",*,13,36,4,10,490,13.6,85,6.5,2.4,52,4,1,4,0,1,3.1,10,31.3,13,3,4,11,25.6,3,13.3,3,40,3,39,13,1,0.3,0,
13,13,14,15,12/17/2023,CAR,,ATL,"W, 9-7",*,18,24,7,25.9,200,8.3,110,6.1,4.6,57,3.2,0,2,0,2,9.1,2,9.1,3,0,2,5,17.9,1,12,4,9,1,-3,-0.8,12,3,1,4
14,14,15,16,12/24/2023,CAR,,GNB,"L, 30-33",*,23,36,14,36.8,372,10.3,205,8.9,5.7,107,4.7,0,2,1,0,0,8,24.2,17,1,7,10,25,2,7,4,17,1,15,3.8,2,0.5,0,
15,15,16,17,12/31/2023,CAR,@,JAX,"L, 0-26",*,19,32,5,13.2,257,8,40,2.1,1.3,72,3.8,1,1,0,2,6.5,7,22.6,13,0,1,7,17.9,1,2,1,2,0,0,0,2,2,0,
16,16,17,18,1/7/2024,CAR,,TAM,"L, 0-9",*,11,18,2,9.5,105,5.8,34,3.1,1.9,60,5.5,0,0,0,4,22.2,3,16.7,14,6,2,11,47.8,2,12,2,24,1,24,12,0,0,0,
,,,,,,,,14-Feb,,315,527,133,22.6,3980,7.6,1577,5,3,1300,4.1,6,46,1,23,4.8,103,21.5,166,38,50,150,24.2,31,8.4,39,253,18,191,4.9,62,1.6,4,9.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
