,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl
1,14,4,4,10/2/2022,NYJ,@,PIT,"W, 24-20",*,18,36,11,29.7,331,9.2,155,8.6,4.3,97,5.4,0,5,0,5,16.1,7,22.6,13,4,5,10,25.6,2,7.5,2,15,0,15,7.5,0,0,0
2,15,5,5,10/9/2022,NYJ,,MIA,"W, 40-17",*,14,21,9,39.1,197,9.4,76,5.4,3.6,134,9.6,0,0,0,1,4.8,4,19,11,2,1,5,20.8,1,5,4,2,1,1,0.3,1,0.3,0
3,16,6,6,10/16/2022,NYJ,@,GNB,"W, 27-10",*,10,18,4,20,111,6.2,59,5.9,3.3,51,5.1,1,1,0,1,5.9,1,5.9,8,2,0,4,19,1,4,5,1,0,1,0.2,0,0,0
4,17,7,7,10/23/2022,NYJ,@,DEN,"W, 16-9",*,16,26,5,17.2,114,4.4,22,1.4,0.8,99,6.2,0,2,0,2,8.3,5,20.8,13,5,1,9,28.1,3,8.3,4,24,1,24,6,0,0,0
5,18,8,8,10/30/2022,NYJ,,NWE,"L, 17-22",*,20,41,15,34.9,399,9.7,161,8.1,3.9,194,9.7,2,6,0,0,0,12,34.3,7,14,0,16,37.2,0,,1,2,0,1,1,1,1,0
6,19,9,9,11/6/2022,NYJ,,BUF,"W, 20-17",*,18,25,9,33.3,160,6.4,68,3.8,2.7,86,4.8,0,1,0,1,4.2,5,20.8,10,1,1,4,13.8,2,9,5,24,3,22,4.4,2,0.4,0
7,20,10,11,11/20/2022,NYJ,@,NWE,"L, 3-10",*,9,22,3,11.5,196,8.9,54,6,2.5,23,2.6,1,2,0,1,5,7,35,10,4,1,9,31,3,8.7,3,26,1,26,8.7,0,0,0
8,21,14,15,12/18/2022,NYJ,,DET,"L, 17-20",*,18,35,14,35.9,491,14,261,14.5,7.5,56,3.1,0,1,0,0,0,12,35.3,16,4,6,14,35,1,4,3,7,1,7,2.3,0,0,0
9,22,15,16,12/22/2022,NYJ,,JAX,"L, 3-19",*,9,18,3,14.3,181,10.1,22,2.4,1.2,70,7.8,1,2,0,0,0,3,18.8,6,0,0,3,14.3,0,,1,1,0,1,1,0,0,0
,,,,,,,,4-May,,132,242,73,27.5,2180,9,878,6.7,3.6,810,6.1,5,20,0,11,5,56,25.2,94,36,15,74,26.6,13,7.5,28,102,7,98,3.5,4,0.1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
