,,,,,,,,,,Passing,,,,Air Yards,,,,,,,Accuracy,,,,,,,Pressure,,,,,,,Rushing,,,,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,23,1,1,9/11/2023,NYJ,,BUF,"W, 22-16 (OT)",,14,21,7,30.4,96,4.6,48,3.4,2.3,92,6.6,0,3,0,0,0,3,16.7,3,3,3,8,33.3,1,6,4,6,1,3,0.8,3,0.8,0,
2,24,2,2,9/17/2023,NYJ,@,DAL,"L, 10-30",*,12,27,6,20,273,10.1,80,6.7,3,90,7.5,2,1,1,3,12,6,24,7,4,2,9,26.5,4,9,5,36,2,31,6.2,5,1,0,
3,25,3,3,9/24/2023,NYJ,,NWE,"L, 10-15",*,18,36,6,15.4,243,6.8,84,4.7,2.3,73,4.1,1,6,1,2,6.9,4,13.8,16,7,5,15,37.5,1,1,1,1,0,0,0,1,1,0,
4,26,4,4,10/1/2023,NYJ,,KAN,"L, 20-23",*,28,39,12,29.3,291,7.5,181,6.5,4.6,64,2.3,2,0,0,2,5.1,6,15.4,14,6,8,16,38.1,1,14,2,14,1,14,7,0,0,0,
5,27,5,5,10/8/2023,NYJ,@,DEN,"W, 31-21",*,19,26,10,33.3,181,7,91,4.8,3.5,108,5.7,1,0,0,2,7.7,3,11.5,7,1,1,6,18.2,3,8.7,3,26,0,15,5,11,3.7,1,3
6,28,6,6,10/15/2023,NYJ,,PHI,"W, 20-14",*,19,33,9,23.7,259,7.8,90,4.7,2.7,96,5.1,0,0,0,3,9.1,6,18.2,11,6,3,14,35,2,8.5,4,15,0,15,3.8,0,0,0,
7,29,7,8,10/29/2023,NYJ,@,NYG,"W, 13-10 (OT)",*,17,36,8,20,275,7.6,123,7.2,3.4,117,6.9,0,1,1,2,5.9,8,23.5,22,8,5,17,39.5,3,8.3,4,25,1,25,6.3,0,0,0,
8,30,8,9,11/6/2023,NYJ,,LAC,"L, 6-27",*,33,49,12,21.1,353,7.2,145,4.4,3,118,3.6,1,1,0,3,6.3,5,10.4,8,2,2,12,20.7,1,7,2,7,0,7,3.5,0,0,0,
9,31,9,10,11/12/2023,NYJ,@,LVR,"L, 12-16",*,23,39,11,26.8,358,9.2,114,5,2.9,149,6.5,0,2,0,2,5.4,7,18.9,3,0,4,6,13.3,4,13.5,4,54,2,54,13.5,0,0,0,
10,32,10,11,11/19/2023,NYJ,@,BUF,"L, 6-32",*,7,15,6,30,76,5.1,22,3.1,1.5,59,8.4,0,2,0,2,15.4,1,7.7,4,1,0,6,26.1,3,5,4,15,0,13,3.3,2,0.5,0,
11,33,13,14,12/10/2023,NYJ,,HOU,"W, 30-6",*,27,36,15,37.5,238,6.6,163,6,4.5,138,5.1,1,1,0,1,2.9,4,11.4,14,5,5,14,33.3,2,6.5,3,12,0,2,0.7,10,3.3,0,
12,34,14,15,12/17/2023,NYJ,@,MIA,"L, 0-30",*,4,11,2,13.3,29,2.6,17,4.3,1.5,9,2.3,0,3,0,0,0,1,12.5,4,4,3,11,73.3,0,,0,0,0,0,,0,,0,
,,,,,,,,7-May,,221,368,104,25.1,2672,7.3,1158,5.2,3.1,1113,5,8,20,3,22,6.4,54,15.7,113,47,41,134,30.5,25,8.6,36,211,7,179,5,32,0.9,1,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
